No.	Chinese gloss	English gloss	Proto-Bai	Tuoluo (妥洛)	Gongxing (共兴)	Enqi (恩棋)	Ega (俄嘎)	Jinman (金满)	Jinxing (金星)	Dashi (大石)	Zhoucheng (周城)	Mazhelong (马者龙)	Page number
1513	麻木	be numb	bri²	(de³³)	(dʑyen¹²)ʂi²²	(qui²¹)	tɕyi²¹	tɕyẽ²¹	piə²¹	pi²¹	pi²¹	pi²¹	199
1516	買	buy	mæ⁵	ma²¹	mæ⁴²	mæ⁴³	ma⁴²	ma⁴²	ma⁴²	mɚ⁴²	mɛ⁴²	mɚ²¹	199
1517	賣	sell	ɢɯ¹	ʁɚ³⁵	ɢe¹²	qɯ²¹	qɯ²¹	qɯ²¹	kɯ²¹	kɯ²¹	kɯ²¹	kəɯ²¹	199
1521	鳴(鳥)	(birds) cry/chirp	mæ¹ᵇ	ma³⁵	mæ¹²	mæ²¹			man²¹	mɚ²¹		mɚ̃²¹	199
1523	抿著(嘴)	close (the mouth) lightly	me¹ᵃ	mi⁵⁵	mi⁵⁵	mi²⁴			me⁵⁵	me³⁵		mi⁵⁵	199
1525	摸	stroke; touch	mɔ⁴	mɔ⁴²	moŋ²⁴	mɯ⁵⁵	mu⁵⁵	mo⁵⁵	mõ⁴⁴	mõ⁴⁴	mou⁵⁵	mo⁴⁴	199
1526	磨(刀)	whet (a knife)	mɔ¹ᵇ	mɔ³⁵	ma¹²	mo²¹	mu²¹	mo²¹	mõ²¹	mau²¹	mo²¹	mo²¹	199
1527	磨(面)	grind (flour)	tʰre⁴	tʰi⁴²	tʰi²⁴	(uᴇ⁴³uᴇ⁴³)	(ji⁴²)	(ji⁴²)	tsʰe⁴⁴	tʂʰe⁴⁴	(ue⁴²)	(ɣəɯ²¹)	199
1533	擰(毛巾)	twist (a tower)	tsuɛ⁴	(ji⁴²)	(ji²¹)	tsuᴇ⁵⁵(/ji²¹)	(ji⁴²)	(ji⁴²)	tsui⁴⁴	(ji³¹)	tsue⁴⁴	tsuɛ⁴⁴	199
1535	嘔吐	vomit/throw up	kʰuɛ²	kʰuɛ³³	qʰuɛ²²	qʰuᴇ²²	(tɕʰa⁴⁴)	(tɕʰa⁴⁴)	(tɕʰia⁴⁴)	(tã⁴²)	kʰui⁴⁴	kʰui³³	200
1536	爬(人)	(people) crawl	mæ⁴	ma⁴²	mæ²⁴	mæ⁵⁵	ma⁴⁴	ma⁵⁵	ma⁴⁴	mɚ⁴⁴	mɛ⁴⁴	mɚ⁴⁴	200
1546	賠償	compensate	bæ¹	ba³⁵	bæ¹²	pæ²¹			pa²¹	pɚ²¹	pʰe⁴²	(tã⁴²)	200
1552	劈(柴)	chop (firewood)	pʰɔ³	pʰɔ²¹	pʰa⁴²	pʰo⁴³	pʰo⁴²	pʰo⁴²	pʰou³¹	pʰou³¹	pʰo⁴²	(tʰu⁵⁵)	200
1553	漂浮	float	bɯ¹	bɯ³⁵	bu¹²	bɯ²¹	pɯ²¹	pɯ²¹	pɯ²¹	pu²¹	pɯ²¹	pəɯ²¹	200
1561	剖	cut/rip open	pʰæ⁴	pʰa⁴²	pʰæ²⁴	pʰæ⁵⁵	tɕyi²¹tʰo⁵⁵	ɕa⁵⁵pʰo⁴²	pʰa⁴⁴	pʰou³³	pʰɛ⁵⁵	pʰɚ⁴⁴	200
1562	鋪	pave; lay	kʰuŋ¹	pʰɯ⁵⁵	kʰoŋ⁵⁵	kʰo²⁴	kʰu⁵⁵		kʰõ⁵⁵	pʰu³³	kʰou⁵⁵	kʰoŋ⁵⁵	200
1566	騎	ride	gɯ¹	gɯ³⁵	gɯ¹²	kɯ²¹	kɯ²¹	kɯ²²	kɯ²¹	kɯ²¹	kɯ²¹	(ua²¹)	200
1568	牽(牛)	pull/lead (a cow) along	qʰen¹	qʰan⁵⁵	qʰen⁵⁵	qʰᴇ²⁴	qʰɛ⁵⁵	qʰe⁵⁵	kʰẽ⁵⁵	kʰen⁵⁵	kʰe⁵⁵	kʰen⁵⁵	200
1569	欠(錢)	to owe (money)	bjɛ²	vɚ³³	bvu²²	vᴇ²²	vɛ²²	(tɕĩ²¹)	v³³	võ³³	(ɕiou³³)	pi³³	200
1574	切(菜)	cut up (vegetable)	tsʰuaŋ²	tsʰoŋ³³	tsʰuaŋ²²	tɕʰyᴇ²²	(ɕa⁴⁴)	(ɕu⁴⁴)	tsʰuɑ̃³³	tsʰuã³³	tsʰua³³	tsʰuen³³	200
1580	痊癒(病)	fully recover (from an illness)	χɯ̃²	xẽ³³	χen²²	χɯ²²			xə̃³³	xu³³(xa⁵⁵)	xɯ³³	xə³³	200
1587	熱(飯)	heat up (cold rice)	ʔuen¹	uen⁵⁵	uen²²	ʔuᴇ²⁴	ʔuɛ̃⁵⁵	uẽ⁵⁵	ʔuen⁵⁵	wen³⁵	uɛ³⁵	ŋuɛ⁵⁵	200
1596	撒(尿)	piss; pee	srɯ²	ʂi⁵⁵	ʂi²²	ɕɯ²²	sɛ²²	ʂɚ²²			si³³	ɕɚ̃⁵⁵	200
1597	撒(種)	scatter (seeds)	sa⁴	sɔ⁴²	sa²⁴	sa⁵⁵	so⁴²	sa⁵⁵	sɑ⁴⁴	sa⁴⁴	(tɕɛ⁴²)	sɐ²¹	200
1601	掃	seep	tʰro⁴	tʰiu⁴²	tsʰu²⁴	tʰiu⁵⁵	tɕʰio⁴⁴	ʈʰo⁵⁵	tsʰou⁴⁴	tʂʰou⁴⁴	[so³³]	[səɯ³³]	200
1602	殺	kill	ɕʰa⁴	ɕiɔ⁴²	(χa²⁴)	xa⁵⁵	ɕio⁴⁴	ɕia⁵⁵	ɕiɑ⁴⁴	ɕʰia⁴⁴	ɕia⁴⁴	ɕa⁴⁴	200
1604	曬(衣服)	dry (clothes) in the sun	hɔ³	hɔ²¹	ha⁴²	xo⁴³	xo⁴²	xo⁴²	xou³¹	xou³¹	ho³¹	xo²¹	200
1611	射(箭)	shoot (an arrow)	droŋ⁴	diu⁴²	dzu²¹	tiu²¹	tɕiu⁴²	ʈo⁴²	tsõ⁴²	tʂoŋ⁴²	tsou⁴²	tʰɚ⁴⁴	200
1613	伸	stretch out (the arm)	tsʰren²	tʂʰɚ̃³³	tʂʰɚ̃²²	tsʰɿ²²	tsʰɛ²²	tɕʰɚ̃²²			tʰa⁵⁵	tsʰen³³	200
1634	梳	to comb	sro⁵	ʂv²¹			ɕiu⁴²	ɕiu⁴²	sṽ³¹	ʂo⁴²	sv³¹	[su³¹]	201
1635	輸	lose (a game)	tsʰreŋ¹	tʂʰɚ̃⁵⁵[/ʂv⁵⁵]	tʂʰi²²	tsʰɿ²⁴	(a⁴²ɣo²¹)	tʂɚ⁵⁵	tsʰi⁵⁵	[ʂo³⁵]	tsʰi⁵⁵	[ɕy⁵⁵]	201
1638	熟(果子)	(fruit) be ripe	dzro⁴	ʐv⁴²	dzao²¹	tɕio²¹	tɕiu²¹	tɕio²¹	(tsṽ⁴²tʰə³¹)	(tʰiɯ⁴²xa⁵⁵)		tsʰu⁴²	201
1643	甩	fling; toss	sreŋ¹	ʂɚ̃⁵⁵	ʂi⁵⁵	sɿ²⁴	sɛ⁵⁵	ʂɚ⁵⁵	san⁵⁵	(ju³³)		[suɛ⁴²]	201
1645	拴(牛)	tie (a cow) to	bjo⁴	vɚ⁴²	bvw²¹	fo²¹	u²¹	u²¹			pɛ²¹	pʰɯ⁴²	201
1648	吮	suck	tsji⁴	tɕi⁴²	tɕi¹²	tsi⁵⁵			tɕi⁴⁴	tɕi⁴⁴	tɕi⁵⁵	tɕi⁴⁴	201
1649	說	say	sua⁴	sua⁴²			(tso⁴²)		suɑ⁴⁴		sua⁴⁴	sua⁴⁴	201
1650	撕	tear up, rip	pʰe¹	(tʰi⁴²pʰo⁵⁵)	(tɕien⁵⁵)	pʰi²⁴	tɕʰyi⁵⁵	tɕʰyi⁵⁵		pʰe⁵⁵	pʰe⁵⁵	pʰɛ⁵⁵	201
1651	死	die	sji²	ɕi³³	ɕi³³	ɕi³³	si²²	ɕi²²	ɕi³³	ɕi³³	ɕi³³	ɕi³³	201
1656	鎖(門)	lock (the door)	sɔ²	sɔ³³	su²²	so²²	so²²	so²²	tsou⁴²	su³³	so³³	tsʰo⁵⁵	201
1663	逃跑	escape; run away	mɯ¹ᵇ	mɯ³⁵	moŋ¹²	mɯ²¹	mɯ²¹	mu²¹	mõ²¹	mə̃²¹	mo²¹	(liɐ⁵⁵lɛ⁵⁵)	201
1666	痛(頭痛)	(head) ache	suŋ³	svŋ²¹	saŋ⁴²	(tsa⁵⁵)	(tso⁵⁵)	(tsa⁵⁵)	sṽ³¹	sõ³¹	(si³¹)	soŋ²¹	201
1668	剃(頭)	shave (the head)	dʑæn³	ʐaŋ²¹	dzan⁴²	dzᴇ⁴³	(ɕia⁴⁴)	(ɕiu⁴⁴)	tɕian³¹	tɕiɚ̃²¹	tɕiɛ³¹	tɕiɚ̃²¹	201
1674	舔	lick, lap	dzri²	ʐi³³	dʐi²²	dzɿ²²	tsɛ²²	ʐɚ̃²²	tsi³³	tʂi³³	tsi³³	dzi³³	201
1681	聽	listen	tɕʰæn¹	tɕʰiaŋ⁵⁵	tɕʰian⁵⁵	tɕʰiæ²⁴	tɕʰia⁵⁵	tɕʰiã⁵⁵	tɕʰian⁵⁵	tɕʰiɚ̃⁵⁵	tɕʰiɛ⁵⁵	tɕʰɚ̃⁵⁵	201
1688	吐(痰)	spit	tsʰri¹	tɕʰi⁴²(/fɚ⁵⁵tʰɔ²¹)	(pfu¹²tʰua⁴²)	(fᴇ²⁴tʰo⁴³)	(fɛ⁵⁵tʰo⁴²)	(fe⁵⁵)	tsʰi⁵⁵(tsʰi⁵⁵tʰou³¹)	tʂʰi⁵⁵	tsi⁵⁵	tɕʰi⁵⁵	201
1707	聞(嗅)	to smell	tʰru¹	tʰv⁵⁵	tʂʰy⁵⁵	tʰiu²⁴	xã⁵⁵	ʈʰu⁵⁵	tsʰu⁵⁵	tʂʰu⁵⁵	tsʰv⁵⁵	tsʰu⁵⁵	201
1708	問	ask; question	præ⁴	tʂua⁴²	tɕuɛ²⁴	piæ⁵⁵	tɕya⁴⁴	tɕua⁵⁵	pia⁴⁴	piɚ⁴⁴	piɛ⁴⁴	piɚ⁴⁴	201
1715	瞎	be blind	tæ¹	ta⁵⁵	ten⁵⁵	tæ²⁴	ta⁵⁵	tã⁵⁵	tan⁵⁵	[ɕa¹³]	tɛ³⁵	tɚ⁵⁵	201
1718	下(蛋)	lay (eggs)	sen⁵	sen²¹	sen⁴²	sᴇ⁴³	sɛ⁴²	sẽ⁴²	sen⁴²	ɕien⁴²	se⁴²	sen⁴²	202
1719	下(雨)	(rain) fall	ɣu⁴	(ʐi³³)uo⁴²	(ʐi²²)w²¹	u²¹	u⁴²	u⁴²	ɣou⁴²	ɣou⁴²	ou⁴²(vu³³ɕi⁴⁴)	ɣo⁴²	202
1726	想	think	mi²	mi³³			mi²²(/suɛ⁴²)	mi²²	mi³³	mi³³	mi³³	[ɕaŋ²¹]	202
1733	削	pare/peel with a knife	ɕʰo⁴	ɕu⁴²	(bi¹²)	ɕo⁵⁵	ɕu⁴⁴	(la⁵⁵)	ɕou⁴⁴	ɕʰou⁴⁴	(pe²¹)	[ɕo⁵⁵]	202
1735	笑	laugh	sʰɔ³	sɔ²¹	su⁴²	su⁴³	sy⁴²	su⁴²	sou³¹	(ɕʰi³¹)	so³¹	səɯ²¹	202
1745	壓	press; push down	ja⁴	jɔ⁴²	ja²⁴	ja⁵⁵	a⁴⁴	a⁵⁵	jɑ⁴⁴	ja⁴⁴	ja⁴⁴	ja⁴⁴	202
1746	閹(雞)		mjæn¹	juang⁵⁵	ȵyɛ⁵⁵	mia²⁴	ȵia⁴⁴	ȵio⁵⁵	mian⁵⁵	mier³⁵			202
1749	癢	to itch/tickle	njoŋ²	jvŋ³³	joŋ²²	ȵio²²	ȵiõ²²	ȵiõ²²	jõ³³	joŋ³³	jou⁴⁴	joŋ³³	202
1754	舀(水)	scoop up (water); ladle out	qɯ¹	qɚ⁵⁵	qe⁵⁵	qɯ²⁴	qɯ⁵⁵		kɯ⁵⁵	kɯ³⁵	kɯ³⁵	kə⁵⁵	202
1755	要	want; need	njoŋ⁴	jvŋ⁴²	(tsao²¹)	(tsa²¹)	(tso⁴²)	ȵu⁴²	jõ⁴⁴	joŋ⁴⁴	ȵiou⁴⁴	ȵioŋ⁵⁵	202
1764	有(錢)	have (you)	dʑɯ²	jɯ³³	dzi²²	dʑɯ²²	dʑi²²	dʑi²²	tsi³³	tsɯ³³	tsɯ³³	dzəɯ³³	202
1793	蜇(馬蜂)	(wasps) sting	tʰro⁴	tʰiu⁴²	ŋaŋ²⁴	tʰiu⁵⁵	tɕʰio⁴⁴	ʈʰo⁵⁵	tsʰou⁴⁴	tʂʰou⁴⁴	ŋa⁴⁴	tsʰo⁴⁴	202
1797	蒸	steam	drɯ̃¹	di⁵⁵	dzẽ¹²	diɯ²⁴	tɕi⁵⁵	ʈɯ̃⁵⁵	tsə̃⁵⁵	tʂẽ³⁵	tsɯ³⁵	[tsen⁵⁵]	202
1799	織	weave; knit	trɯ⁴	tjɯ⁴²	tʂi²⁴	tiɯ⁵⁵	tɕi⁴⁴	ʈɯ⁵⁵	tsi⁵⁵	tʂɚ²¹	tsɯ⁴⁴	tsəɯ⁴⁴	202
1802	腫	swell	tsʰreŋ¹	tʂʰɚ̃⁵⁵	tʂʰẽ⁵⁵	tsʰɿ²⁴	tsʰɛ⁵⁵	tʂʰɚ⁵⁵	tsʰan⁵⁵	tʂʰɚ̃⁵⁵	tsʰi⁵⁵	tsʰen⁵⁵	202
1803	拄	use or lean on (a walking stick)	trɯ²	tiɯ³³	nɛ¹²	tiɯ²²	pa²¹	ʈɯ²²	tsɯ³³		tsɯ³³	tsəɯ³³	202
1804	煮	cook; boil	tsrɔ²	tʂv³³	tsao²²	tɕu²²	tɕu²²	tɕu²²	tsv⁵⁵	tʂo³³	tsv³³	tsv³³	202
1806	轉(身)	turn around	dʐuen⁵?	ʐyen²¹	zyen⁴²	tɕyᴇ⁴³	zyɛ⁴²	zye⁴²	tsuen⁴²	tʂuen⁴²	tsue⁴²	tsuan⁴²	202
1813	捉	catch; capture	kæ⁴	(tɕia⁴²)	kæ²⁴	kæ⁵⁵	ka⁴⁴	ka⁵⁵	ka⁴⁴	kɚ⁴⁴	kɛ⁴⁴	kɚ⁴⁴	202
1819	坐	sit	ko⁵	kv²¹	kao⁴²	ku⁴³	kv⁴²	kv⁴²	kv⁴²	ko⁴²	kv⁴²	kv⁴²	203
1823	泥鰍		ʔo⁴		ao²⁴	ʔo⁵⁵	(ŋu⁵⁵tsi²²)		ʔv⁴⁴	o⁵⁵	v⁵⁵	(tɕa²¹oŋ⁵⁵)	203
1829	腿	leg	qʰuæ³qɔ⁴	qʰua²¹	qʰuæ⁴²	qʰuæ⁴³	qʰua⁴²	ko⁴⁴ ['foot']	kou⁴⁴	kou⁴⁴	ko⁴⁴	kʰuɚ²¹/ko⁴⁴	203
1852	樹皮	bark	tree+skin	djɯ²¹bi³⁵	dʐi¹²bi²¹	tree+skin	tree+skin	tree+skin	tsɯ³¹pe²¹	tʂɯ²¹pe²¹	tsɯ³¹pe²¹	ɕen⁵⁵pe²¹	203
1858	甄子	jar	ŋuen¹ᵇ		uen¹²	ŋui²¹	ŋuɛ²¹	uẽ²¹			ue²¹	a⁵⁵ji²¹ven²¹	203
1863	價	price	qæ⁵	qa²¹	qæ⁴²	qæ⁴³	qa⁴²	qa⁴²	ka⁴²	kɚ⁴²	kɛ⁴²	kɚ⁴²	203
2073	牛虱		pe¹		(ŋɯ²¹ɕi²⁴)	pi²⁴	(ŋɯ²¹ɕi⁴⁴)	(ɯ̃²¹ɕi⁴⁴)			pe³⁵	pɛ⁵⁵	203
2075	酒糟		pʰa¹		pʰa²⁴	pʰa⁵⁵	pʰa⁴⁴	(tsõ²²qʰo²²)			pʰa⁵⁵	pʰɐ⁵⁵	203
2086	篾	bamboo piece	mi¹ᵇ		mi¹²	mi²¹	ȵyi²¹	(tɕiu⁴⁴pʰe⁴²)			mi²¹	(tsu⁴⁴xo⁵⁵)	203
2105	漆	paint	tsʰji⁴		tɕʰi²⁴	tsʰi⁵⁵	tsʰi⁵⁵	tɕʰi⁵⁵			tɕʰi⁵⁵	tɕʰi⁴⁴	203
2109	嗦子	stomach	tsʰu³		tsʰu⁴²	tsʰu⁴³	tsʰu⁴²	tsʰu⁴²			(v⁴²)	tsʰu²¹	203
2118	蕨菜		kua⁴		kua¹²	kua⁵⁵	(kui⁵⁵li⁴⁵qɯ²²)	kua⁵⁵			kua⁵⁵	kua⁴⁴	203
2121	薅(草)		qʰu¹		qʰu⁵⁵	qʰu²⁴	qʰu²⁴	qʰu⁵⁵(/lu²¹)			kʰu⁵⁵	kʰo⁵⁵	203
2124	語言	(xx language)	ŋo³		ŋo⁴²	ŋo⁴³						oŋ²¹	203
291	貓	cat		hɔ⁴²lɔ³⁵	xua⁵⁵lao²¹	xuæ⁵⁵lo²¹	xua⁵⁵lo²¹	xua⁵⁵lo²¹	ɑ̃⁵⁵ni⁵⁵	aŋ³⁵ni⁵⁵	a⁵⁵mi⁵⁵	a⁵⁵ni⁵⁵	204
582	梯子	ladder		qɛ⁵⁵gv³⁵	qɛ⁵⁵ku¹²ʂi²²	tso²⁴ku²¹	qɛ⁵⁵ku²¹	kv²¹	tse²¹tʰi⁵⁵kɑ̃⁵⁵	tʂi²¹tʰe⁵⁵	lɯ²¹tsi³³tʰe⁵⁵	tɕi²¹tʰɛ⁵⁵	204
1052	好	good		diaŋ³⁵	dzan¹²	diæ²¹	xo⁵⁵	xo²²	xu³³	xu³³	[tɕʰou⁵⁵]	xə³³	204
1073	甜	sweet		ɕioŋ⁵⁵	ɕioŋ⁵⁵	ɕio²⁴	ɕiu⁵⁵	ɕiõ⁵⁵	kɑ̃⁵⁵ŋv³³	kã³⁵ṽ³³	ka³⁵mi⁴⁴	kaŋ⁵⁵	204
1131	拔(草)	pull up (weeds)		ʐo⁴²	dʑiua²¹	pia²¹	tɕia⁴⁴	tɕiõ⁵⁵	pio⁴²/mɑ̃²¹	ma²¹	ma²¹	tsʰɛ⁴²/(tsʰɛ⁴⁴)	204
1139	搬	move (a stool)		qʰɛ⁴²	qʰɛ²⁴	qʰᴇ⁵⁵	qʰɛ⁵⁵	pie²¹	piã⁴²	pẽ³⁵	pa²¹	tʰoŋ²¹	204
1150	刨	dig		ba³⁵	bæ¹²	pæ²¹	pa²¹	pã²¹	tʰui⁵⁵	tʰue⁵⁵	tʰue⁵⁵	tʰui⁵⁵	204
1239	打(柴)	gather (firewood)		hjɔ³³ɕien⁵⁵	xjao²²ɕien⁵⁵	xo²²si²⁴	xo²²sɛ⁵⁵	xo²²sẽ⁵⁵	tsou⁴⁴ɕien⁵⁵		tsou⁴⁴ɕi³⁵	tʰv⁵⁵ɕen⁵⁵	204
1424	嚼	chew		ŋaŋ⁴²	ŋɐ²⁴	ɴa⁵⁵	ŋo⁴⁴	ŋa⁴⁴	tsou⁴²	tsou⁴²	tsou⁴²	tsʰo⁴²	204
1599	散開 (鞋帶散開了)	(shoelace) come loose		lɔ²¹	la⁴²	lo⁴³	lo⁴²	lo⁴²	sõ⁵⁵	wei³³	sa⁴²	pʰiɚ⁴⁴	204
1627	試	try; attempt		zɔ³⁵	zao²¹	zo²¹	zo²¹	tso²¹	si³³	ʂi³¹	si³¹	[si⁴²]	204
1688	吐(痰)	spit		fɚ̃⁵⁵(tʰɔ²¹)/tɕʰi⁴²(tʰɔ²¹)	pfu¹²(tʰua⁴²)	fᴇ²⁴(tʰo⁴³)	fɛ⁵⁵(tʰo⁴²)	fe⁵⁵	tsʰi⁵⁵(tsʰi⁵⁵tʰou³¹)	tʂʰi⁵⁵	tsi⁵⁵	tɕʰi⁵⁵	204
1713	洗(衣)	wash clothes		ɕɯ³³	ɕi²²; tsuɛ²⁴	ɕiɯ²²	ɕyi²²	ɕyi²²	se³³	se³³	se³³	se³³	204
