Gahri	Part of speech	English gloss
dzat	n.	barley
dzat-	v. tr.	hon. to do, to make
dzaw	n.	friend
dzeba	n.	small cracks in wall
dzejba	n.	temple
dzep	n.	stallion
dzer	n.	nail
dzer-	v. tr.	to stick into
dzermo	n.	claw
dzik	n.	leopard
dzilpa	n.	dew
dziŋ	n.	pool, pond
dziŋ-	v. tr.	to scold
dziŋs-	v. intr.	to quarrel
dziŋs-	v. mid.	to quarrel
dziŋdziŋ	n.	dizziness
dziŋdziŋ	n.	massive snowfall
dziŋgil	n.	noise, disturbance
dziŋmo	n.	quarrel, fight
dziŋs	n.	quarreling person
dzo	n.	crossbreed between yak and cow (male, 1st generation)
dzokdzok	adj.	thick (of liquids), juicy
dzokna	adj.	statue-like, without moving
dzom-	v. intr.	to assemble
dzomo	n.	crossbreed between yak and cow (female, 1st generation)
dzomraŋs	n.	meeting, festival
dzoŋdzoŋ	adj.	long (of manufactured things)
dzoŋs	n.	gift of money for newly married couples
dzopo	n.	bull (castrated)
dzorabare	adj.	meaningless, without any reason
dzordzor	adj.	standing out (of nails, branches, etc.)
dzordzor	n.	bulge
dzorna	adj.	standing out (of nails, branches, etc.)
dzot	n.	store-room
dzot-	v. intr.	to resist
dzuk	n.	pain, sickness
dzuk-	v. tr.	to begin
dzuks	n.	body
dzult-	v. intr.	to bark
dzumdzum	n.	uneasy feeling
dzuŋi	n.	pair
dzural	n.	vent on the sides of a dukpo (traditional dress)
dzuʈʰu	n.	plait
dzwa	n.	bucket
ja-	v. tr.	to serve (drinks and liquid food)
ja	n.	bad food
jaː	adv.	yesterday
jak	n.	yak
jaks-	v. intr.	to make fun of, to talk badly
jamtsʰan	adj.	strange, different
jantʰondok	adv.	surrounding
jaŋ-	v.	to serve (solid food)
jaŋ-	v.	to draw (sword), to strike out
jaŋi	adj.	light (in weight)
jaŋla pʰok-	v. intr.	to get a sunburn
jaŋpʰet	num.	quarter
jaŋsken	n.	dinner
jaŋstok	adv.	last night
jaŋtete	n.	great-grandfather
jaŋʈʰek	n.	roof top
jap-	v. tr.	to split (with a saw)
jarap	adj.	noble, well-behaved
jartok	adv.	above
jartsʰes	n.	waxing phase of moon
jas	adv.	right(side)
jato	n.	friend, help
jatʰem	n.	upper doorframe
jen-	cop.	equative copula
jo-	v. tr.	hon. to cook
joj	adj.	askew
jok-	v. tr.	to buy
jok-	v. tr.	to keep
jokmo	n.	servant, slave (female)
jokpo	n.	servant, slave (male)
joldʑi	n.	early afternoon
jolt-	v. intr.	to fade
jomjom	adv.	back and forth
jon	adv.	left(side)
jondak	n.	head of a household (male)
jondakmo	n.	head of the household (female)
jorok	adv.	upstairs
jos-	v. intr.	to become drunk
jos	n.	drunkenness
jot-	v. intr.	to get lost
jot-	v. tr.	to lose
jotɕi	adv.	higher (in a seating arrangement), a little bit upwards
ju-	v. tr.	to grind
juɕi	n.	tsampa (roasted flour)
juj	adj.	old (of things)
juk-	v. tr.	to throw away, to throw down, to roll (stones)
jukna	adv.	right now, immediately
jul	n.	country, village
juparan	n.	turquoise stone
jur	n.	water channel
juspa	n.	whistling
justa	adv.	for a short while
jwaŋ-	v. intr.	to grow up
ra-	v. intr.	to come
rabarobe	adj.	rough
raɕa	n.	goat meat
raɕi	n.	rope (thick)
ragan	n.	brass
ral	n.	roasted barley flower used to thicken soups
ral-	v. tr.	to dissolve (of liquids) (tr.)
ralak	adv.	on the left side of a valley (when looking downstream)
ralɖi	n.	sword
ramne	n.	consecration
ran	n.	hard snow on which one can walk
ra:na	adj.	often coming
rant-	v. intr.	to weave
raŋga soso	pron.	each their own
raŋtsi	n.	sleeve
ras	n.	cloth (made of cotton), towel
ratɕi	adv.	other side
raʈabul	n.	mill wheel of a water-mill
rawa	n.	hoof
re	n.	umbilical cord
reks-	v. intr.	to shiver
rektsi	n.	kernel
reks	n.	shivering, trembling
rekʰolak	n.	earwax
remo	n.	line
repak	n.	Triloknath
rere	pron.	each
retsi	n.	ear
rewa	n.	hope
ri	n.	(1) avalanche; (2) glacier
riboŋ	n.	rabbit
ridaks	n.	game, wild animals
rik-	v. tr.	to fetch, to bring
rik	n.	field
rikdaŋlenipa	n.	farmer
rintɕenbu	n.	spider
riŋ-	v. intr.	to tell, to say
ritsʰaŋ	n.	crevasse
ro	n.	corpse, dead body
ro-	v. tr.	(1) to roast; (2) to cremate
rol	n.	furrow
rolaŋs	n.	zombie
rolmo	n.	cymbals
roŋga	n.	bean
roŋkʰaŋ	n.	cremation ground
roŋkʰaŋme	n.	funeral pyre
ropdakpa	n.	carrier of the dead body during a funeral
ropotsi	n.	musk deer
roptɕan	adj.	arrogant
roras	n.	shroud
rotɕo	n.	horn
rotɕok	n.	hayloft
rotsi	n.	plank
ruk-	v. tr.	to chew
ruks	n.	cud
ruks nilt-	v. mid.	to chew the cud
rult-	v. intr.	to rot
rup-	v. mid.	to crowd, to come together
rus	n.	lineage, clan
rus-	v.	to be destroyed by a flood
ruspa	n.	bone
rut	n.	flood
rwak-	v. intr.	to graze (intr. / tr.)
rwak-	v. mid.	to graze (intr.)
rwaksa	n.	grazing ground
rwaktsi	n.	shepherd
rwal-	v. mid.	to doze off
rwaŋ	n.	mountain pasture
la	n.	goat (female)
la	n.	reed
la	n.	moon
la	n.	mountain pass
la	n.	speed of walking
ladaks	n.	Ladakh
laja	n.	month
lajoks	n.	sin
lak	n.	hand
lak-	v. tr.	to lick
lakɕa	n.	leg of animals
lakɕup	n.	glove
lakgjap	n.	back of the hand
lakj	adj.	thin (of long things)
lakma	n.	leftovers (eatable)
laks-	v. intr.	to be lost
laks-	v. intr.	to grow well, to thrive
lakskor	n.	millstone
laktʰil	n.	palm (of hand)
lala	n.	song
lala tʰir-	v. tr.	to sing
lalatsi	n.	goat (young)
lam-	v. tr.	to rinse
lam-	v. mid.	to like, to enjoy
lam-	v. tr.	to fry
lama	n.	Lama, monk
lama	n.	sheep (female)
lan	n.	air, wind
lan	n.	answer
lan da-	v. tr.	to answer
laŋ-	v. tr.	to sell
laŋ	n.	fire wood (medium sized pieces)
laŋ	n.	manure, dung
laŋ-	v. tr.	to raise (of fermenting agent)
laŋs-	v. intr.	to rise (of leaved dough), to become alive (of zombies)
laŋs-	v. mid.	to rise (leaved dough)
laŋɕa	n.	beef
laŋɕi	n.	sourdough for lwar after resting
laŋgjak	n.	branch
laŋkesla	n.	5th month of the traditional calendar
laŋpotɕʰe	n.	elephant
laŋspa	n.	vapor
laŋtsi	n.	bull
laŋʈo	n.	bull
lap	n.	leaf
lap	n.	lightning
lapdʑa	n.	advice
lapsi	n.	handkerchief
lapʰjar	n.	avalanche falling over a precipice
lardʑe	n.	doctor
lare	n.	centipede
larlar	adj.	slippery
las	n.	price
lasap	n.	ring (for finger)
lasmi	n.	woman
lati	n.	saliva
latmo	n.	imitation, fake
latsi	n.	mountain peak
latʰot	n.	crown
lawa	n.	sheep shed, goat shed
le	n.	tongue
lebala	n.	wild rose (yellow)
lej	adj.	yellow
lek-	v. tr.	to change, to transfer
leks	n.	village, valley
lekspa	n.	villager
lekwartum	n.	egg yolk
len	n.	work
lenipa	n.	worker
lenmi	n.	worker
lent-	v. intr.	to work
lep-	v. tr.	to reach, to arrive
leptɕaŋdok	adv.	upside down
let-	v. tr.	to teach
letsok	adj.	envious
li	n.	bronze
liː	adj.	heavy
liɕi	n.	cardamom seeds
lik-	v. tr.	to do, to make
limbuʈa	n.	pine tree (Himalayan pine)
linɖa	adj.	naughty, faulty
liŋs	n.	hunt
liŋʈʰan	n.	island
lis-	v. intr.	to freeze
lis	n.	(1) ice; (2) egg white
lo	n.	calendar year
lo	n.	mattress
lo	n.	south
lodʑuŋ	adv.	every year
loj	adj.	easy
lok-	v. tr.	to read, to study
lok	n.	lightning
lok-	v. mid.	to climb up
lokj	adj.	sick, weak, incapable
lokos	n.	curse
lomna	adj.	soft (solid)
loŋ-	v. mid.	to vomit
loŋ	n.	free time
lops-	v. intr.	to become accustomed
lorki	n.	brass pot
lot-	v. tr.	to say
lotok	n.	crops
lukɕa	n.	mutton
lukna	adj.	moist
luks	n.	custom
lumpa	n.	side valley
luŋ	n.	autumn
luŋ	n.	depression
luŋ	n.	breath
luŋtabar	n.	prayer flag
luŋtɕi	n.	last grass in autumn
lus-	v. intr.	to fall behind, to be left over
lus-	v. mid.	to be stuck
lutsi	n.	calf
lwar	n.	omelet made from sourdough
lwat-	v. tr.	to forget
lwats-	v. intr.	to be forgotten
lwats-	v. mid.	to be forgotten
ɕa	n.	meat
ɕabu	n.	maggot
ɕadʑa	n.	water pipe
ɕaj	n.	mustard
ɕak-	v. tr.	hon. to immerse
ɕakbuʈa	n.	birch
ɕal-	v. intr.	to suffer from diarrhea
ɕal	n.	diarrhea
ɕama	n.	afterbirth
ɕanɖum	n.	muscle ache
ɕanpa	n.	butcher
ɕaŋ	adj.	eagerly
ɕaŋ tsak-	v. mid.	to watch eagerly
ɕaŋdzi	n.	old woman
ɕaŋdzi	adj.	old (of women)
ɕaŋi	adj.	old (of animals)
ɕaŋku	n.	wolf
ɕaŋmo	adj.	clever (of women)
ɕaŋpo	adj.	clever (of men)
ɕaŋs	n.	old age
ɕaŋs-	v. intr.	to grow old
ɕaŋs-	v. mid.	to grow old
ɕaŋtɕan	adj.	noticing
ɕaŋʈe	n.	old man
ɕaŋʈe	adj.	old (of men)
ɕaportsi	n.	hangnail
ɕar	n.	east
ɕarba	n.	young man
ɕarba	adj.	young (of men)
ɕarna	n.	cattle shed
ɕarul	n.	scar
ɕas	n.	tenure
ɕat-	v. tr.	to narrate
ɕat-	v. tr.	to clean water channels
ɕatgju	n.	story
ɕatpa	n.	explanation
ɕawa	n.	deer
ɕel	n.	summer
ɕelgo	n.	glass
ɕelkar	n.	crystallized sugar, miśrī
ɕelsa	n.	room used in summertime
ɕema	n.	queen
ɕemtɕuŋ	n.	princess
ɕen-	v. tr.	to raise
ɕens-	v. mid.	to rise, to get up
ɕet	n.	power, strength
ɕet-	v. intr.	to flee, to steal away silently
ɕettɕan	adj.	strong
ɕiː	adj.	white
ɕik-	v. tr.	to tear down (walls)
ɕika	n.	net
ɕilti	n.	rain
ɕinɖat	n.	hard work
ɕiŋ	n.	timber
ɕiŋkan	n.	carpenter
ɕipi	n.	Chanal (ethno-linguistic community of Indo-Aryan origin)
ɕirkaʈak	n.	coarse-grained sand
ɕiskarapa	n.	idol prayed to in wintertime
ɕit-	v. mid.	to die
ɕoɕa	n.	heart
ɕok-	v. tr.	to dress (with underwear) (tr.)
ɕok-	v. mid.	to dress (with underwear) (refl.)
ɕokɕum	n.	shirt
ɕokpa	n.	wing, feather
ɕor-	v. tr.	to miss, to drop
ɕot	n.	lunch
ɕotɕes	n.	acidity, eructation
ɕotni	n.	late afternoon
ɕu	n.	blood
ɕu-	v. tr.	to skin
ɕubu puk-	v. mid.	to become chapped (of skin)
ɕugu	n.	paper
ɕuk-	v. tr.	to comb (tr.)
ɕuk-	v. mid.	to comb (refl.)
ɕukɕu	n.	demon statue
ɕukɕuk	adj.	difficult to tame (of young horses)
ɕukna	adj.	(1) thin (of long things); (2) in a hurry
ɕukpuk	n.	dirt under your skin
ɕuktsi	n.	comb
ɕukur	n.	apricot (dried without kernel)
ɕukutsi	n.	willow twigs for fire
ɕul	n.	dregs
ɕul-	v. tr.	to rinse
ɕulgjut	n.	flour
ɕum	n.	secret visit of a boy to a girl's room at night
ɕun	n.	nail (finger)
ɕundut	n.	knot
ɕuŋiɕuŋi	n.	sniffle
ɕup-	v. tr.	to push together, to telescope
ɕups	n.	(1) cover; (2) sheath
ɕurbuʈa	n.	cedar
ɕuri	adj.	sour
ɕurtum	n.	slingshot
ɕurum	n.	tweed (made of wool)
ɕwakna	adj.	good (in taste)
ɕwant-	v. intr.	to rest
ʂak	n.	shame, shyness
ʂaŋs	n.	horse
ʂaŋspa	n.	horseman
ʂap-	v. tr.	to ford
ʂet-	v. intr.	to laugh
ʂets	n.	laughter
ʂi-	v. tr.	to roll up (a ball of threads)
ʂik	n.	louse
ʂim	n.	arrow
ʂimtsaŋ	n.	the distance of an arrow shot (traditional length measure)
ʂin	n.	epilepsy
ʂinbu	n.	tapeworm
ʂiŋ	n.	sister
ʂip	n.	rib
ʂok-	v. tr.	to send (letters, etc.)
ʂol	n.	narrow passage, corridor
ʂot-	v. intr.	to set (sun)
ʂot	n.	sunset
ʂu-	v. tr.	to ask
ʂu kʰet-	v. tr.	to churn
ʂul-	v. tr.	to drive
ʂunt-	v. intr.	to guard
ʂunt-	v. mid.	to wait
ʂuŋ-	v. tr.	to observe
ʂutsi	n.	nit
ʂwantsi	n.	pigeon
sa	n.	earth, ground
sa	n.	pulse
sagun	n.	seed
sak	n.	(1) breath; (2) vapor
sak-	v. tr.	to store, to put aside
sak tʰin-	v. tr.	to breathe
sakjat	n.	land
saksak	n.	grasshopper
sal-	v. tr.	to make space, to clear away
salbaŋ	adj.	bare-foot
samen	n.	stock, things stored
sampa	n.	crops
san-	v. tr.	to repair, to fix
saŋɕur	n.	incense made of pine trees
saŋgul	n.	earthquake
saŋi	adj.	pure (in a religious sense)
saŋma	n.	hon. food
saŋna	adj.	well (physical condition)
saŋsasaŋ	n.	centipede
sapsap	adj.	burning (of eyes)
sar	n.	wick (made of cotton)
sarka	n.	road
sasa	adj.	different
sat	n.	indigenous deities of Lahaul
se-	v. tr.	to recognize
sej	adj.	dirty
sekor	n.	dirty dishes
sem	n.	heart, mind
sem	n.	barrel
sembura	n.	pomegranate
ser	n.	gold
ser	n.	time(s)
serna	adj.	avaricious
set-	v. intr.	to ride
sew	n.	apple (Indo-Aryan)
si	n.	butter fat (liquid)
siɲal	n.	big cymbals
siŋge	n.	lion (Indo-Aryan)
sipi	n.	pipe, flute
sirikna	adj.	all, everything
siruk	n.	interest, care
siske	n.	bundle of thin sticks used to stir soup
so-	v. tr.	to cool down (tr.), to turn off
sos-	v. intr.	to cool down (intr.)
soj	adj.	cold
sok-	v. tr.	to fit in, to push in
sol	n.	onyx
sol	n.	grain of crops
soldʑa	n.	hon. tea
solpon	n.	cook
soltak	n.	table
sonam	n.	merit
sonna	adv.	slightly
sonpo	adj.	alive
sonsna	adj.	idle
sont-	v. intr.	to be alive, to survive
sops-	v. intr.	to heal (intr.)
sops-	v. mid.	to heal
sotekdʑi	adj.	careful
soti	n.	water
su	pron.	who?
su-	v. tr.	to wash (tr.), to give a shower
su-	v. mid.	to wash (refl.), to take a shower
su-	v. tr.	hon. to welcome
suk-	v. tr.	to move
sul	n.	plait, fold, wrinkle
sum	num.	three (Tibetan)
sumi	num.	three
sums	n.	boredom
suŋ	n.	hon. teaching
suŋ-	v. tr.	hon. to say, to teach
sur	n.	weed
suri	n.	larva living inside the nasal cavity of cattle
surmo	n.	pick-axe (small)
sursla	n.	8th month of the traditional calendar
surt-	v. intr.	to weed
swa	n.	tooth
swal	n.	coal
ha	n.	sweets
haː go-	v. tr.	to understand
haː las-	v. intr.	to be astonished
habar	n.	common land of a village
halam	adv.	some, quite
haldi	n.	saffron
halɖa	n.	traditional festival held on new year
hambu	n.	cow
han	pron.	2SG
hanɖaŋ	adj.	deaf-mute
hanɖu	n.	pot for boiling liquids
haʈi	n.	shop, market, bazaar (Indo-Aryan)
hek	n.	vulture
hel-	v. tr.	to take away, to bring away
helata	adv.	for the time being
hen-	v. tr.	to hear, to listen, to obey
henak	v. dem.	like this, in this manner
hikuk	n.	hiccup
hiŋ	pron.	1PL.EXCL
hit	n.	memory
hoɕmej	quant.	very much, very many, extremely
hoptɕen	n.	stirrup
hot	n.	light
honak	v. dem.	like that, in that manner
hukna	adj.	very tasty
hun	n.	news, information
hura	n.	ram
abi	n.	grandmother
adʑaŋ	n.	uncle (mother's brother, father-in-law, wife's/husband's brother (only appropriate if elder than wife/husband))
ajna	quant.	much, a lot
ak	n.	mouth
aka	n.	excrements
akapʰuktsi	n.	ass hole
aks	n.	edge, blade
aks tak-	v. tr.	to call
aku	n.	uncle (father's sister's husband)
al-	v. tr.	to open (tr.)
als-	v. tr.	to open (intr.)
alkjotsi	n.	chin
aloŋ	n.	earring
altsʰam	n.	beard (chin)
am-	v. intr.	hon. to come
ama	n.	mother
ama kjuktsi	n.	aunt (mother's youngest sister)
amaawa	n.	parents
amdʑambaʈi	n.	kind of pot
ampʰet	n.	middle of a road
amt-	v. mid.	to walk
amtsi	n.	road, way, path
ane	n.	aunt (father's sister, mother-in-law, wife's/husband's sister)
aŋ-	v. tr.	to filter butter
aŋmik	n.	snow blindness
aŋtɕan	adj.	bossy, arrogant
apa	n.	grandmother
apskor	n.	beard (full)
apu	n.	sister (second oldest)
arak	n.	alcohol
arɕi	n.	glass, mirror
artsi	n.	kind of grass used to make traditional shoes
aru	n.	(1) potato; (2) testicles
atɕʰe	n.	sister (oldest)
atɕʰenomo	n.	sisters
atɕʰo	n.	brother (oldest)
atɕʰobet	n.	brothers
atuk	n.	newborn (male)
aw	n.	kiss
awa	n.	father
awa kjuktsi	n.	uncle (father's youngest brother)
i	n.	lynx
ika	pron.	when?
indzi	pron.	herself, himself, oneself
ini	pron.	hon. you
ini	pron.	yourself
iŋgi	pron.	myself
ips	n.	shape
ipsa	n.	room for sleeping
ipt-	v. mid.	to sleep
ipts	n.	sleep
is	n.	big, flat pan used to fry barley
itbiŋ	pron.	how many years?
itɕik	pron.	how many?
itgjak	pron.	how many days?
uks	n.	soul, breath
ukstuks	n.	heavy breathing
umdzat	n.	performer of funeral rites
utɕʰuŋ	n.	performer of funeral rites (substitute for umdzat)
eana	adj.	often going
el-	v. intr.	to go
epo	adj.	good
eraŋ	pron.	1PL.INCL
etek	n.	kind of bird
obar	n.	hole in the floor / in the ceiling to go up and down
ok	n.	boulder
orɕek	adv.	in one year
orok	n.	Adam's apple
oroŋ	n.	snack (eaten with alcohol)
otɕʰak	n.	early morning
otɕi	adv.	tomorrow
otok	adv.	in the future
waj	adj.	far (away)
wajak	adv.	on the next day
wal	n.	shovel (wooden)
wampu	n.	bear
wan-	v. tr.	to take out, to unload, to bring out
waŋs-	v. intr.	to come out, to drip out, to leak
waŋ	n.	blessing
war	n.	belching
war-	v. tr.	to fence in
wars	n.	fence
warna	n.	animal sacrifice
warpa	n.	hearth
wart-	v. intr.	to belch
waru	n.	pot to boil liquids
watɕu	n.	drainage on the roof
watsi	n.	ball (of threads)
