Chinese gloss	English gloss	Language	Word	Source	Page no.
白布	white cloth	Longjia (Dafang)	mpe³³po³³	Guizhou (1982)	22
白菜	Chinese cabbage (Brassica rapa pekinensis)	Caijia	bia³³ka⁵⁵tshəu³¹	Bo (2004)	78
百	hundred	Caijia	pia⁵⁵	Bo (2004)	81
的	possessive marker	Caijia	huŋ⁵⁵	Bo (2004)	81
的	possessive marker	Longjia	huŋ²¹	Guizhou (1984)	
的	possessive marker	Longjia	ku²¹	Guizhou (1984)	
皮	skin	Longjia	pu⁵⁵	Guizhou (1984)	
皮肤	skin	Caijia	pəu³¹	Bo (2004)	78
盆子	bowl	Caijia	tsɿ²⁴	Bo (2004)	79
盐	salt	Caijia	san³³	Bo (2004)	79
盐	salt	Longjia (Dafang)	suŋ⁵⁵kɛ³³	Guizhou (1982)	25
盐	salt	Luren	san⁵⁴	Guizhou Ethnic Gazetteer (2002)	888
盐	salt	Waxianghua (Yuanling)	zɛ¹³	Yang (1999)	
盐一块	one block of salt	Luren	san⁵⁴ʑi⁵⁵taŋ⁵⁴	Guizhou Ethnic Gazetteer (2002)	888
盐巴	salt block	Longjia (Anshun)	ji³³	Caiguan Gazetteer (2004)	496
盖	lid, covering	Longjia	pɛ⁵⁵	Guizhou (1984)	
眉	eyebrow	Longjia	ɣei²¹mau⁵⁵	Guizhou (1984)	
看	to look	Caijia	tsan³³	Bo (2004)	80
看	to look	Longjia (Anshun)	na⁵⁵	Caiguan Gazetteer (2004)	494
看	to look	Longjia	na²¹	Guizhou (1984)	
看守	to guard, watch	Longjia	ɬen³³	Guizhou (1984)	
看守	to guard, watch	Longjia	sau⁵⁵	Guizhou (1984)	
看见	to see	Caijia	kien³³	Bo (2004)	80
真	true, correct	Caijia	dzai³³	Bo (2004)	81
眼睛	eye	Caijia	ȵi³³dzɿ³³	Bo (2004)	78
眼睛	eye	Luren	ŋɑ²¹zɛ⁵⁵	Guizhou (1984)	51
眼睛	eye	Waxianghua (Yuanling)	ŋæ⁵³tsəɯ⁵⁵	Yang (1999)	
眼睛	eye	Longjia	ȵy²¹khu⁵⁵	Guizhou (1984)	
睡	to sleep	Caijia	dzɿ³³	Bo (2004)	80
睡	to sleep	Longjia (Anshun)	nts⁵⁵	Caiguan Gazetteer (2004)	495
睡	to sleep	Waxianghua (Guzhang)	khuai³³	Wu & Shen (2010)	
睡	to sleep	Longjia	zei⁵⁵pu⁵⁵	Guizhou (1984)	
睡着	to sleep	Longjia	zei⁵⁵pu⁵⁵	Guizhou (1984)	
瞎	blind	Caijia	tha³³	Bo (2004)	81
知道	to know	Longjia	ti²¹	Guizhou (1984)	
短	short	Caijia	tshuo³³	Bo (2004)	81
矮	short	Caijia	bi³³	Bo (2004)	81
矮	short (length)	Waxianghua (Guzhang)	tɕhia⁵⁵	Wu & Shen (2010)	
石	stone	Caijia (Shuicheng)	查读 zadu	Liupanshui Gazetteer (2003)	184
石头	stone	Caijia	dza³¹	Bo (2004)	77
石头	stone	Waxianghua (Guzhang)	ŋa⁵⁵; ŋa⁵⁵lau²⁵ku³³	Wu & Shen (2010)	
石头	stone	Waxianghua (Yuanling)	ŋa⁵⁵laɔ⁵³ku²²	Yang (1999)	
石头	stone	Longjia	a³³tau²¹kɛ⁵⁵	Guizhou (1984)	
石山洞	stone cave	Caijia	ŋan³¹	Bo (2004)	77
砍	to cut, hack	Caijia	tau³³	Bo (2004)	80
砍	to cut, hack (a tree)	Longjia (Dafang)	ntau⁵⁵	Guizhou (1982)	23
砍	to cut, hack (a tree)	Longjia (Dafang)	ntau⁵⁵	Guizhou (1982)	26
砍	to cut, hack (a tree)	Longjia	ntau⁵⁵	Guizhou (1984)	
砍、剁	to cut, hack (a tree)	Longjia	ʈhuŋ⁵⁵	Guizhou (1984)	
破	broken	Longjia (Anshun)	mpia³¹	Caiguan Gazetteer (2004)	494
破	broken	Longjia (Anshun)	mpia⁴²	Caiguan Gazetteer (2004)	495
破（布）	broken, ripped (cloth)	Longjia	tɕhi⁵⁵kɛ³³	Guizhou (1984)	
硬	hard	Caijia	ŋa³³	Bo (2004)	81
硾		Longjia	ti⁵⁵	Guizhou (1984)	
硾子	iodide child	Caijia	tie³¹	Bo (2004)	79
碗	bowl	Caijia	u³³	Bo (2004)	79
碗	bowl	Luren	mɑ³³lɑ³³	Guizhou (1984)	51
碗	bowl	Longjia (Anshun)	jia ɬa⁴²	Caiguan Gazetteer (2004)	496
碗	bowl	Longjia	au⁵⁵	Guizhou (1984)	
磨	mortar	Caijia	ɣuŋ³¹	Bo (2004)	79
磨（动）	to grind (mortar)	Longjia	phɛ⁵⁵	Guizhou (1984)	
磨子	mortar	Longjia (Dafang)	la⁵⁵za³³tau²¹	Guizhou (1982)	28
磨子	mortar	Longjia	za⁵⁵tau³³	Guizhou (1984)	
祖母	grandmother	Caijia	ja³³	Bo (2004)	79
祖母	grandmother	Longjia (Dafang)	a⁵⁵ʑa⁵⁵	Guizhou (1982)	27
祖母	grandmother	Longjia	a⁵⁵ʑa⁵⁵	Guizhou (1984)	
祖父	grandfather	Caijia	pa³³	Bo (2004)	79
祖父	grandfather	Longjia	a⁵⁵mpei⁵⁵	Guizhou (1984)	
神	spirit, god	Caijia	sɿ³¹	Bo (2004)	79
祭	to offer sacrifice	Longjia	ɬa²¹	Guizhou (1984)	
福气	fortunate, lucky	Longjia	fu²¹tɕhi²⁴	Guizhou (1984)	
秤	to weigh, balance	Longjia	tɕi³³	Guizhou (1984)	
秤	to weigh, balance	Longjia	tsɿ³³	Guizhou (1984)	
秧	seedling	Longjia	zaŋ⁵⁵	Guizhou (1984)	
稀	dilute	Caijia	nan³¹	Bo (2004)	81
稗子	tares	Caijia	dzɿ³¹ba³³	Bo (2004)	78
稠	viscuous	Caijia	ka³³	Bo (2004)	81
稳	steady, balanced	Longjia	a³³pu³³	Guizhou (1984)	
稻子	rice (plant)	Caijia	kuo²⁴	Bo (2004)	78
稻谷	rice (plant)	Longjia	mɛ²¹	Guizhou (1984)	
穿	to wear	Caijia	ɯ³¹	Bo (2004)	80
穿（衣）	to wear (shirt)	Longjia	ei⁵⁵	Guizhou (1984)	
穿（衣服）	to wear (clothes)	Waxianghua (Guzhang)	tu⁴¹	Wu & Shen (2010)	
穿（鞋）	to wear (shoes)	Longjia	zɿ³³	Guizhou (1984)	
穿山甲	pangolin	Waxianghua (Guzhang)	sai⁵⁵li ɳiəɯ⁵⁵	Wu & Shen (2010)	
穿青人	Chuanqing (an unclassified ethnic group of Guizhou)	Caijia	ku³¹lai²⁴	Bo (2004)	79
窄	narrow	Caijia	ta⁵⁵	Bo (2004)	81
窄	narrow	Waxianghua (Guzhang)	o³³	Wu & Shen (2010)	
站	to stand	Caijia	dan³³	Bo (2004)	80
端（两端）	end (at both ends)	Caijia	min³³	Bo (2004)	77
竹子	bamboo	Caijia	tso⁵⁵	Bo (2004)	78
笑	to laugh	Caijia	so³¹	Bo (2004)	80
笑	to laugh	Caijia (Shuicheng)	嗦 suo	Liupanshui Gazetteer (2003)	184
笑	to laugh	Longjia	sau⁵⁵	Guizhou (1984)	
笑状		Longjia	khei⁵⁵hei³³	Guizhou (1984)	
笨	stupid	Waxianghua (Guzhang)	gɑ³³	Wu & Shen (2010)	
笨	stupid	Longjia	pen²⁴	Guizhou (1984)	
等	to wait	Caijia	ȵuo³³	Bo (2004)	80
等	to wait	Longjia	tau⁵⁵	Guizhou (1984)	
答	to answer	Caijia	an⁵⁵	Bo (2004)	80
答应	to answer	Longjia	ɣo³³	Guizhou (1984)	
筷子	chopsticks	Caijia	du³¹	Bo (2004)	79
筷子	chopsticks	Longjia	ʈo³³	Guizhou (1984)	
箩筐	basket, large	Caijia	pau³³	Bo (2004)	79
箩筐	basket, large	Waxianghua (Guzhang)	lu⁵⁵su³³	Wu & Shen (2010)	
箩筐	basket, large	Longjia	phɛ³³	Guizhou (1984)	
箭	arrow	Caijia	piau²⁴	Bo (2004)	79
篱笆	fence	Caijia	pu³³	Bo (2004)	79
簸箕	winnower	Caijia	tie³¹	Bo (2004)	79
簸箕	winnower	Longjia (Dafang)	tsɿ⁵⁵pie³³	Guizhou (1982)	28
簸箕	winnower	Longjia	tsɿ⁵⁵pie³³	Guizhou (1984)	
米	rice (grain)	Longjia	taŋ⁵⁵	Guizhou (1984)	
米桶	rice basket, container	Luren	kʰai⁴³kən³³	Guizhou Ethnic Gazetteer (2002)	888
粑粑	rice cake	Longjia	so²¹kɛ⁵⁵	Guizhou (1984)	
粗	thick (of diameter)	Caijia	tshu³³	Bo (2004)	81
粗	thick (of diameter)	Longjia	tsho⁵⁵	Guizhou (1984)	
粪	manure	Longjia	mpei⁵⁵	Guizhou (1984)	
粮食	cereals	Longjia	mɛ²¹	Guizhou (1984)	
糖	bran, husk	Caijia (Shuicheng)	糖 tang	Liupanshui Gazetteer (2003)	185
糖	bran, husk	Longjia	thaŋ³³	Guizhou (1984)	
糖	bran, husk	Longjia	tsha⁵⁵	Guizhou (1984)	
糠	bran, husk	Caijia	tsha³³	Bo (2004)	79
糠	bran, husk	Longjia (Dafang)	tsha⁵⁵	Guizhou (1982)	22
糠	bran, husk	Longjia (Dafang)	tsha⁵⁵	Guizhou (1982)	25
糠	bran, husk	Longjia	tsha⁵⁵	Guizhou (1984)	
紧	tight	Caijia	tɕin⁵⁵	Bo (2004)	81
累	tired	Caijia	khui³³	Bo (2004)	81
累	tired	Longjia (Dafang)	khei⁵⁵	Guizhou (1982)	26
累	tired	Waxianghua (Guzhang)	lau²⁵fɑ²⁵	Wu & Shen (2010)	
红	red	Caijia	tshɿ⁵⁵	Bo (2004)	80
红	red	Caijia (Shuicheng)	虫 chong	Liupanshui Gazetteer (2003)	184
红	red	Longjia	tsha³³	Guizhou (1984)	
线	string	Longjia (Dafang)	sie⁵⁵tau⁵⁵	Guizhou (1982)	29
线	string	Longjia	sie⁵⁵tau⁵⁵	Guizhou (1984)	
细	thin (of diameter)	Caijia	mo³³	Bo (2004)	81
细小	thin (of diameter)	Longjia	ma⁵⁵	Guizhou (1984)	
绕	to go around	Longjia	van⁵⁵	Guizhou (1984)	
给	to give	Caijia	a³³	Bo (2004)	80
绳子	rope	Caijia	su⁵⁵	Bo (2004)	79
绳子	rope	Waxianghua (Guzhang)	su⁴¹tsa	Wu & Shen (2010)	
绳子	rope	Longjia	kei⁵⁵	Guizhou (1984)	
绵	cotton	Longjia	mian²¹	Guizhou (1984)	
绵羊	sheep	Caijia	zu³¹	Bo (2004)	78
绸子	silk cloth	Longjia	luŋ³³po³³	Guizhou (1984)	
绿	green	Caijia	lo³³	Bo (2004)	80
绿	green	Caijia (Shuicheng)	绿 lv	Liupanshui Gazetteer (2003)	184
编	to weave	Longjia (Dafang)	ŋɛ³³	Guizhou (1982)	30
缝（动词）	to sew	Longjia (Dafang)	a³³ȵuŋ⁵⁵	Guizhou (1982)	22
缺	to lack	Caijia	pia³³	Bo (2004)	79
缻子	pottery	Longjia (Dafang)	luŋ³³puŋ³³	Guizhou (1982)	29
羊	sheep, goat	Caijia (Shuicheng)	雌 ci	Liupanshui Gazetteer (2003)	184
羊	sheep, goat	Luren	kəu⁴⁵	Guizhou Ethnic Gazetteer (2002)	888
羊	sheep, goat	Waxianghua (Guzhang)	zɤŋ¹³	Wu & Shen (2010)	
美	beautiful	Waxianghua (Guzhang)	tɕiaŋ⁵⁵xu¹³	Wu & Shen (2010)	
群、伙		Longjia	kui²¹	Guizhou (1984)	
翻	to turn over	Longjia	phɛ⁵⁵	Guizhou (1984)	
老	old (of person)	Longjia (Anshun)	tsau⁴²	Caiguan Gazetteer (2004)	496
老	old (of person)	Longjia	lau⁵⁵	Guizhou (1984)	
老（菜）	stale, overripe (of vegetables)	Waxianghua (Guzhang)	a¹³	Wu & Shen (2010)	
老茧	callus	Caijia	di³³	Bo (2004)	79
老表		Longjia	lau⁵⁵piau⁵⁵	Guizhou (1984)	
老鼠	rat, mouse	Caijia	su⁵⁵	Bo (2004)	78
耐用	durable	Caijia	mu³³	Bo (2004)	81
耙	rake	Caijia (Shuicheng)	耙 ba	Liupanshui Gazetteer (2003)	185
耳	ear	Waxianghua (Guzhang)	ɳiaŋ²⁵sɪ²⁵	Wu & Shen (2010)	
耳	ear	Waxianghua (Yuanling)	ȵia⁵³tuɛ⁵⁵	Yang (1999)	
耳朵	ear	Caijia	ȵi³³kha³³	Bo (2004)	78
聋	deaf	Caijia	tan³³	Bo (2004)	81
聋子	deaf (person)	Waxianghua (Guzhang)	tsau⁵⁵ti	Wu & Shen (2010)	
肉	meat, flesh	Caijia	tsa³¹	Bo (2004)	79
肉	meat, flesh	Luren	ȵi²¹	Guizhou (1984)	50
肉	meat, flesh	Longjia (Anshun)	ntɕi⁴²	Caiguan Gazetteer (2004)	494
肉	meat, flesh	Longjia (Dafang)	ȵi²¹	Guizhou (1982)	28
肉	meat, flesh	Longjia	ȵi²¹	Guizhou (1984)	
肋骨	ribs	Caijia	kha³³	Bo (2004)	79
肘	elbow	Caijia	kui⁵⁵	Bo (2004)	78
肚子	belly	Caijia	məu³¹luo³¹	Bo (2004)	78
肚子	belly	Longjia (Dafang)	pu³³pu³³	Guizhou (1982)	28
肚脐	navel	Caijia	zɿ³¹	Bo (2004)	78
肝	liver	Caijia	san³³ka³³	Bo (2004)	78
肠子	intestine	Caijia	vu³¹	Bo (2004)	78
肠子	intestines	Waxianghua (Guzhang)	lin¹³tsa³³	Wu & Shen (2010)	
肠子	intestines	Waxianghua (Yuanling)	lioŋ¹³tsa	Yang (1999)	
肠子	intestines	Longjia	laŋ⁵⁵	Guizhou (1984)	
肥	fat	Caijia	pu³¹	Bo (2004)	81
肩膀	shoulder	Caijia	ta³³pu³¹	Bo (2004)	78
肺	lung	Caijia	phəu³¹	Bo (2004)	78
肾	kidney	Caijia	lu³¹khue⁵⁵	Bo (2004)	78
肿	to swell, swollen	Caijia	uŋ³³	Bo (2004)	80
肿	to swell, swollen	Longjia	aŋ⁵⁵	Guizhou (1984)	
胃	stomach	Caijia	du³¹	Bo (2004)	78
胆	gallbladder	Caijia	ta⁵⁵	Bo (2004)	78
胆	gallbladder	Longjia	ta⁵⁵ȵi²¹	Guizhou (1984)	
背	back	Longjia	mpa²¹	Guizhou (1984)	
胡子	beard	Caijia	pi³¹mau²⁴, khu⁵⁵mau²⁴	Bo (2004)	78
胡椒	pepper	Caijia	so³³	Bo (2004)	78
胳膊	arm	Caijia	suo⁵⁵ken³³, fu⁵⁵	Bo (2004)	78
胸脯	chest	Caijia	san³¹təu²⁴	Bo (2004)	78
脆	to kneel	Longjia	kei²¹	Guizhou (1984)	
脊背	back	Caijia	səu³³kui⁵⁵	Bo (2004)	78
脊背	back	Longjia (Dafang)	a⁵⁵zɿ²¹mpi⁵⁵	Guizhou (1982)	28
脑髓	brain	Caijia	no³¹ka⁵⁵	Bo (2004)	78
脖子	neck	Caijia	suŋ³³kuŋ³³	Bo (2004)	78
脖子	neck	Longjia (Dafang)	tɕaŋ²¹ken⁵⁵	Guizhou (1982)	28
脖子	neck	Waxianghua (Guzhang)	tsɪ²⁵kai⁴¹	Wu & Shen (2010)	
脚	foot	Caijia	ku⁵⁵	Bo (2004)	78
脚	foot	Caijia (Shuicheng)	故 gu	Liupanshui Gazetteer (2003)	184
脸	face	Caijia	min³¹kuŋ³³	Bo (2004)	78
脸	face	Longjia (Anshun)	mie⁵⁵	Caiguan Gazetteer (2004)	495
脸	face	Waxianghua (Yuanling)	mi²²po⁵⁵	Yang (1999)	
脸	face	Longjia	ɕi³³	Guizhou (1984)	
腋下	armpit	Caijia	ja³¹ji³³tie⁵⁵	Bo (2004)	78
腐烂	rotten	Caijia	tshɿ³¹	Bo (2004)	79
腰	waist	Caijia	o³³	Bo (2004)	78
腰带	belt	Luren	tsai⁴⁵sai⁴⁵	Guizhou Ethnic Gazetteer (2002)	888
腰带	belt	Longjia	po³³au⁵⁵	Guizhou (1984)	
腿	leg	Caijia	ku⁵⁵	Bo (2004)	78
自己	self	Waxianghua (Guzhang)	tɕhin⁵⁵kaŋ⁵⁵	Wu & Shen (2010)	
自称	autonym	Longjia	suŋ⁵⁵ȵi⁵⁵mpau²¹	Guizhou (1984)	
臭	stinky	Longjia	tshu⁵⁵	Guizhou (1984)	
舂（粑粑）	to pound (rice cake)	Longjia	nʈe⁵⁵	Guizhou (1984)	
舂（辣子）	to pound (chili)	Longjia	ntie⁵⁵	Guizhou (1984)	
舂媒		Longjia (Anshun)	mun³¹tan⁴²	Caiguan Gazetteer (2004)	496
舅爷	great-uncle	Longjia (Anshun)	kou⁵⁵	Caiguan Gazetteer (2004)	496
舌头	tongue	Caijia	dzɿ³³ta³¹	Bo (2004)	78
舌头	tongue	Longjia	zɿ³³tsɿ³³	Guizhou (1984)	
舌头	tongue	Longjia	zɿ⁵⁵tsɿ³³	Guizhou (1984)	
舔	lick	Caijia	bi³¹	Bo (2004)	80
船	boat	Longjia	ntaŋ⁵⁵	Guizhou (1984)	
艾草	wormwood	Caijia	ŋan³¹	Bo (2004)	78
芋叶	taro leaf	Longjia	he²¹ʑe³³	Guizhou (1984)	
芝麻	sesame	Caijia	ȵan³¹pəu³³	Bo (2004)	78
芥菜	mustard	Caijia	ka⁵⁵tshəu³¹	Bo (2004)	78
花	flower	Longjia (Dafang)	ʔuɛ⁵⁵	Guizhou (1982)	28
花	flower	Longjia	uɛ⁵⁵	Guizhou (1984)	
花（形）	flowery (adjective)	Longjia	kua⁵⁵	Guizhou (1984)	
花（色）	flowery (color)	Longjia	kua⁵⁵	Guizhou (1984)	
花椒树	prickly ash	Caijia	so³³so⁵⁵	Bo (2004)	78
花椒树	prickly ash	Caijia	je³¹	Bo (2004)	78
芽	bud	Caijia	ȵe³¹	Bo (2004)	78
苋菜	amaranth	Caijia	ku²⁴tshəu³¹	Bo (2004)	78
苗族	Miao, Hmong	Caijia	jo²⁴	Bo (2004)	79
苦	bitter	Caijia	khu⁵⁵	Bo (2004)	81
苦蒿		Longjia	tɕhaŋ⁵⁵	Guizhou (1984)	
茄子	eggplant	Caijia	ga²⁴	Bo (2004)	78
茎	stem	Caijia	ka³³	Bo (2004)	78
茶	tea	Caijia	gu³³	Bo (2004)	79
茶	tea	Waxianghua (Guzhang)	khu⁵⁵	Wu & Shen (2010)	
茶	tea	Waxianghua (Yuanling)	khu⁵⁵, tshuæ⁵³	Yang (1999)	
茶叶	tea leaf	Luren	ti⁵⁵sai⁵⁵	Guizhou Ethnic Gazetteer (2002)	888
草	grass	Caijia	tsho⁵⁵	Bo (2004)	78
草	grass	Longjia	ta⁵⁵	Guizhou (1984)	
草药	herb	Longjia	zɯ²¹	Guizhou (1984)	
草鞋	shoes (of grass)	Luren	pu²¹ku³³	Guizhou (1984)	51
草鞋	shoes (of grass)	Longjia	tɕhi³³ȵi³³	Guizhou (1984)	
荞麦	buckwheat	Caijia	kuo³³	Bo (2004)	78
荞麦	buckwheat	Longjia (Dafang)	nko⁵⁵	Guizhou (1982)	26
荞麦	buckwheat	Longjia	nko⁵⁵	Guizhou (1984)	
药	medicine	Caijia	tsu⁵⁵	Bo (2004)	79
菌子	mushroom	Caijia	san³³	Bo (2004)	78
菌子	mushroom	Longjia (Dafang)	mau³³	Guizhou (1982)	28
菜	vegetable	Longjia	hu⁵⁵	Guizhou (1984)	
菜园	vegetable garden	Caijia	ja³¹	Bo (2004)	79
菠萝	carrot, beet	Caijia	bia²⁴	Bo (2004)	78
萝卜	radish	Caijia	tshəu³³tuo³¹	Bo (2004)	78
落	to drop, fall	Longjia	a³³ti⁵⁵	Guizhou (1984)	
葫芦	gourd, calabash	Caijia	pia²⁴	Bo (2004)	78
葱	onion	Caijia	tɕo³³	Bo (2004)	78
蒙		Longjia	muŋ⁵⁵	Guizhou (1984)	
蒜	garlic	Caijia	la³¹sa³¹	Bo (2004)	78
蒜	garlic	Longjia	so³³	Guizhou (1984)	
蒸	to steam	Caijia	dzuo³³	Bo (2004)	80
蒸	to steam	Longjia (Dafang)	tuŋ⁵⁵	Guizhou (1982)	22
蓝	blue	Caijia	tshɿ³³	Bo (2004)	80
蔬菜	vegetables	Caijia	tshəu³¹	Bo (2004)	78
蕨	fern	Caijia	kua³³	Bo (2004)	78
薄	thin	Caijia	bu³³	Bo (2004)	81
薅锄	weeding hoe	Longjia	tɕo⁵⁵tsɿ³³	Guizhou (1984)	
藏	to hide (tr.)	Caijia	dzu³¹	Bo (2004)	80
藤	rattan	Longjia (Dafang)	kei⁵⁵	Guizhou (1982)	28
藤子	rattan	Caijia	mei³¹	Bo (2004)	78
虎	tiger	Caijia	khu⁵⁵	Bo (2004)	78
虎	tiger	Caijia (Shuicheng)	虎 hu	Liupanshui Gazetteer (2003)	184
虫	insect	Longjia	muŋ³³luŋ³³	Guizhou (1984)	
虱子	louse	Caijia	sei⁵⁵	Bo (2004)	78
虹	rainbow	Waxianghua (Guzhang)	mo²⁵ɤŋ⁴¹	Wu & Shen (2010)	
蚂蚁	ant	Waxianghua (Guzhang)	lo¹³min¹³tsa⁵⁵	Wu & Shen (2010)	
蚊子	mosquito	Caijia	tu³¹pi²⁴	Bo (2004)	78
蚕	silkworm	Caijia	tsan²⁴	Bo (2004)	78
蚯蚓	earthworm	Caijia	jin²⁴	Bo (2004)	78
蚯蚓	earthworm	Waxianghua (Guzhang)	zuai²⁵	Wu & Shen (2010)	
蛆	maggot	Caijia	so³³	Bo (2004)	78
蛇	snake	Caijia	fei⁵⁵	Bo (2004)	78
蛇	snake	Caijia (Shuicheng)	非 fei	Liupanshui Gazetteer (2003)	184
蛇	snake	Longjia (Dafang)	la⁵⁵muŋ³³luŋ³³	Guizhou (1982)	28
蛇	snake	Waxianghua (Guzhang)	fi²⁵	Wu & Shen (2010)	
蛋	egg	Luren	se²⁴	Guizhou (1984)	51
蛋	egg	Waxianghua (Guzhang)	kɤŋ³³	Wu & Shen (2010)	
蛋	egg	Longjia	ʈhu⁵⁵	Guizhou (1984)	
蛋白	egg white	Longjia	ʈhu⁵⁵tɕhaŋ⁵⁵	Guizhou (1984)	
蜂	bee	Caijia	mi³³	Bo (2004)	78
蜗牛	snail	Waxianghua (Guzhang)	pi⁵⁵kaŋ⁵⁵liau¹³	Wu & Shen (2010)	
蜘蛛	spider	Caijia	ta³³tu⁵⁵	Bo (2004)	78
蜜蜂	bee	Longjia	men³³ntsɿ³³	Guizhou (1984)	
蜡烛	candle	Caijia	ɣa³³	Bo (2004)	79
蜻蜓	dragonfly	Waxianghua (Guzhang)	tɕiau¹³ɳiaŋ²⁵	Wu & Shen (2010)	
蝗虫	locust	Waxianghua (Guzhang)	tsoŋ²⁵ku³³	Wu & Shen (2010)	
蝙蝠	bat	Waxianghua (Guzhang)	dzɤŋ¹³pi¹³sɪ³³	Wu & Shen (2010)	
蝴蝶	butterfly	Waxianghua (Guzhang)	dzau¹³tsa⁵⁵	Wu & Shen (2010)	
蠕动	squirm	Caijia	thuŋ³³	Bo (2004)	79
血	blood	Caijia	tshɿ³¹tshɿ³¹	Bo (2004)	78
血	blood	Longjia	sɛ⁵⁵	Guizhou (1984)	
行（量）		Longjia	ɬau³³	Guizhou (1984)	
街	street	Longjia (Dafang)	khau⁵⁵	Guizhou (1982)	23
街	street	Longjia (Dafang)	khau⁵⁵	Guizhou (1982)	26
衣	clothes	Caijia (Shuicheng)	欧 ou	Liupanshui Gazetteer (2003)	184
衣服	clothes	Caijia	ɯ³³	Bo (2004)	79
衣服	clothes	Luren	ɣɯ³³tɛ⁵⁵	Guizhou (1984)	51
衣服	clothes	Longjia (Anshun)	su³³	Caiguan Gazetteer (2004)	495
衣服	clothes	Longjia	su⁵⁵	Guizhou (1984)	
补	to mend, patch up	Longjia	mpɛ⁵⁵	Guizhou (1984)	
袋子	bag	Longjia (Dafang)	naŋ³³ntsɿ³³	Guizhou (1982)	28
袋子	bag	Longjia (Dafang)	naŋ⁵⁵ntsɿ³³	Guizhou (1982)	22
袜	socks	Caijia (Shuicheng)	袜 wa	Liupanshui Gazetteer (2003)	184
袜子	socks	Luren	vu¹¹tsʰɿ³³	Guizhou Ethnic Gazetteer (2002)	888
被子	socks	Longjia	pu²¹	Guizhou (1984)	
裂开	split, broken	Caijia	khɯ³³	Bo (2004)	79
装	attire, costume	Longjia	ti⁵⁵	Guizhou (1984)	
裙子	skirt	Longjia (Dafang)	nkui⁵⁵	Guizhou (1982)	23
裙子	skirt	Longjia	nkui⁵⁵	Guizhou (1984)	
裤子	skirt	Longjia	kuɛ³³	Guizhou (1984)	
裹脚	to bind feet (Qing dynasty practice)	Luren	laŋ¹¹	Guizhou Ethnic Gazetteer (2002)	888
裹腿	to wrap leg (with cloth)	Longjia (Dafang)	a³³luŋ⁵⁵	Guizhou (1982)	28
裹腿布	leg wrappings	Longjia	a³³luŋ⁵⁵	Guizhou (1984)	
要	to want, desire	Longjia (Anshun)	ntsau⁴²	Caiguan Gazetteer (2004)	495
要	to want, desire	Longjia	nau²¹	Guizhou (1984)	
记	to record, remember	Longjia (Dafang)	ti²¹	Guizhou (1982)	30
记得	remember	Caijia	nen³¹	Bo (2004)	80
讲	to tell	Longjia (Anshun)	kau³¹	Caiguan Gazetteer (2004)	496
话	speech	Caijia	ŋoŋ³¹	Bo (2004)	79
话	speech	Longjia (Anshun)	nkuŋ⁵⁵	Caiguan Gazetteer (2004)	494
说	to say	Caijia	xa³³	Bo (2004)	80
说	to say	Longjia	ɬaŋ⁵⁵	Guizhou (1984)	
说	to say	Longjia	ɕi⁵⁵	Guizhou (1984)	
说话	to say something	Caijia (Shuicheng)	哈翁 haweng	Liupanshui Gazetteer (2003)	185
读	to read	Caijia	ko³³	Bo (2004)	80
读书	to read a book	Caijia (Shuicheng)	锅书 guoshu	Liupanshui Gazetteer (2003)	184
谁	who	Longjia	ti⁵⁵ȵi²¹	Guizhou (1984)	
谁，哪个	who, which	Waxianghua (Guzhang)	o¹³kəɯ³³	Wu & Shen (2010)	
谷子	millet	Longjia (Anshun)	mai⁴²	Caiguan Gazetteer (2004)	496
豆	bean	Luren	tei³³	Guizhou (1984)	51
豆	bean	Longjia	ntau⁵⁵	Guizhou (1984)	
豆子	bean	Caijia	do²⁴	Bo (2004)	78
豆腐	tofu, bean curd	Longjia	ntau⁵⁵thau²⁴	Guizhou (1984)	
豹	leopard	Caijia (Shuicheng)	豹 bao	Liupanshui Gazetteer (2003)	184
赔偿	reparation	Caijia	tsu³¹	Bo (2004)	80
走	to walk	Caijia	ɣa³¹	Bo (2004)	80
走	to walk	Luren	u³³	Guizhou (1984)	50
走	to walk	Caijia (Shuicheng)	哈 ha	Liupanshui Gazetteer (2003)	184
走	to walk	Longjia	ka⁵⁵	Guizhou (1984)	
走	to walk	Longjia	kho⁵⁵	Guizhou (1984)	
走	to walk	Longjia	u³³	Guizhou (1984)	
赶	to go to the market	Luren	ɑ⁵⁵	Guizhou (1984)	50
赶	to go to the market	Longjia (Anshun)	phau⁴²	Caiguan Gazetteer (2004)	494
赶	to go to the market	Longjia	a⁵⁵	Guizhou (1984)	
赶场	to go to the market	Longjia (Anshun)	pau⁴²kai⁴²	Caiguan Gazetteer (2004)	496
起	to rise	Longjia	khei²¹	Guizhou (1984)	
跑	to run	Caijia	piau³³	Bo (2004)	80
跑	to run	Longjia (Dafang)	a³³sau⁵⁵	Guizhou (1982)	30
跑	to run	Waxianghua (Yuanling)	thua⁵⁵	Yang (1999)	
跟随	to follow	Longjia	a³³ɕɯ⁵⁵	Guizhou (1984)	
路	road	Caijia	ho⁵⁵	Bo (2004)	79
路	road	Longjia (Dafang)	hau²¹	Guizhou (1982)	27
路	road	Luren	ho¹¹	Guizhou Ethnic Gazetteer (2002)	888
路	road	Waxianghua (Guzhang)	sau²⁵	Wu & Shen (2010)	
