No.	Form	Language	Gloss (1)	Gloss (2)
N208.A	*kəla̱ə̯m	Proto-Mon	ridge of roof	
N209	*trəw	Proto-Monic		path, way
N209.B	*trə̱w	Proto-Nyah Kur	path, way	
N209a	*t-n-rəw	Proto-Monic	journey, way, route	path, way
N209a.B	*tərə̱w (~ *ntrə̱w)	Proto-Nyah Kur	path, way	
N209a.A	*kəra̱o̯	Proto-Mon	journey, way, route	
N210	*phəw	Proto-Monic	raised wooden trough filled with earth or sand on which cooking-fire is lit, furnace; kitchen; (at the) home (of), in company of	rock-stove (usually consisting of three roundish rocks)
N210.B	*phə̱w	Proto-Nyah Kur	rock-stove (usually consisting of three roundish rocks)	
N210.A	*pha̱o̯	Proto-Mon	raised wooden trough filled with earth or sand on which cooking-fire is lit, furnace; kitchen; (at the) home (of), in company of	
N211	*tar	Proto-Monic	shaft, handle, pin, pencil, stalk, stem (of leaf)	handle (usually of knife)
N211.B	*ta̱r	Proto-Nyah Kur	handle (usually of knife)	
N211.A	*tɔ̱o̯	Proto-Mon	shaft, handle, pin, pencil, stalk, stem (of leaf)	
N212	*knʔɯl	Proto-Monic	rice-mortar	small mortar (for spices, areca, ...)
N212.B	*kənʔɯ̱l	Proto-Nyah Kur	small mortar (for spices, areca, ...)	
N212.A	*həʔĩ̱	Proto-Mon	rice-mortar	
N213	*khal	Proto-Monic	small cup in which offerings are placed	water-cup, bowl
N213.B	*kha̱l	Proto-Nyah Kur	water-cup, bowl	
N213.A	*khɔ̱o̯	Proto-Mon	small cup in which offerings are placed	
N214	*ʔɔɔs	Proto-Monic	firewood, fuel	firewood
N214.B	*ʔu̱aj̊	Proto-Nyah Kur	firewood	
N214.A	*ʔo̱h	Proto-Mon	firewood, fuel	
N215	*cmpɔɔj	Proto-Monic	nest (of birds, snakes, ants ...); metaphorically: house	nest (of birds, rats, termites ...)
N215.B	*cəmpu̱aj	Proto-Nyah Kur	nest (of birds, rats, termites ...)	
N215.A	*həpu̱ə̯	Proto-Mon	nest (of birds, snakes, ants ...); metaphorically: house	
N216	*t()mɓaaj	Proto-Monic	cooking-pot, cauldron	cooking-pot
N216.B	*t()mba̱aj	Proto-Nyah Kur	cooking-pot	
N216.A	*həma̱i̯	Proto-Mon	cooking-pot, cauldron	
N217	*pluuj	Proto-Monic	wax	beeswax
N217.B	*phlu̱uj	Proto-Nyah Kur	beeswax	
N217.A	*plu̱i̯	Proto-Mon	wax	
N218	*cɛh	Proto-Monic	small jar of demijohn shape	small water-jar
N218.B	*cɛ̱h	Proto-Nyah Kur	small water-jar	
N218.A	*cɛ̱h	Proto-Mon	small jar of demijohn shape	
N219	*kcah	Proto-Monic	charcoal	charcoal
N219.B	*kəca̱h	Proto-Nyah Kur	charcoal	
N219.A	*chja̱h	Proto-Mon	charcoal	
N220	*mɔh	Proto-Monic	(terminal) point, edge, fringe	tip, point of sharp object
N220.B	*mɔ̤h	Proto-Nyah Kur	tip, point of sharp object	
N220.A	*mṳh	Proto-Mon	(terminal) point, edge, fringe	
N221	*tiiʔ	Proto-Monic	earth, soil, ground, land	soil, ground consisting of earth (not stony ground); /phɛ̱ɛn ti̱iʔ/ country
N221.B	*ti̱iʔ	Proto-Nyah Kur	soil, ground consisting of earth (not stony ground); /phɛ̱ɛn ti̱iʔ/ country	
N221.A	*tɒ̱i̯ʔ	Proto-Mon	earth, soil, ground, land	
N222	*kntuuʔ	Proto-Monic	moon, month	moon, month
N222.B	*kəntu̱uʔ	Proto-Nyah Kur	moon, month	
N222.A	*hətɒ̱u̯ʔ	Proto-Mon	moon, month	
N223	*tmɔɔʔ	Proto-Monic	stone	stone
N223.B	*thmɔ̱ɔʔ	Proto-Nyah Kur	stone	
N223.A	*hmɔ̱ʔ	Proto-Mon	stone	
N224	*ɗaak	Proto-Monic	water, liquid	water, liquid, body secretion
N224.B	*da̱ak	Proto-Nyah Kur	water, liquid, body secretion	
N224.A	*ɗa̱i̯c	Proto-Mon	water, liquid	
N225	*jak	Proto-Monic	smoke	smoke of fire
N225.B	*ja̤k	Proto-Nyah Kur	smoke of fire	
N225.A	*jɛ̤a̯k	Proto-Mon	smoke	
N226	*lhuk	Proto-Monic	dirt, mud, filth adhering to something	mud
N226.B	*ləhu̱k	Proto-Nyah Kur	mud	
N226.A	*hlɒ̱ɨ̯k	Proto-Mon	dirt, mud, filth adhering to something	
N227	*ptiŋ	Proto-Monic	ash, ashes	ashes, fine dust
N227.B	*pəti̱ɲ	Proto-Nyah Kur	ashes, fine dust	
N227.A	*pətʌ̱i̯ɲ	Proto-Mon	ash, ashes	
N228	*bnaŋ	Proto-Monic	bund, ridge between compartments of paddy-field, raised path or standing, hard standing round well, compartment of paddy-field as measure of area	low hills
N228.B	*phna̤ŋ	Proto-Nyah Kur	low hills	
N228.A	*nɛ̤a̯ŋ	Proto-Mon	bund, ridge between compartments of paddy-field, raised path or standing, hard standing round well, compartment of paddy-field as measure of area	
N229	*krooŋ	Proto-Monic	stream, creek, small river	large river
N229.B	*kro̱oŋ	Proto-Nyah Kur	large river	
N229.A	*krʌ̱ɨ̯ŋ	Proto-Mon	stream, creek, small river	
N230	*sruŋ	Proto-Monic	hole, cavity	hole, cavity
N230.B	*ɕru̱ŋ	Proto-Nyah Kur	hole, cavity	
N230.A	*-sɒ̱ɨ̯ŋ	Proto-Mon	hole, cavity	
N231	*[lm]laaŋ	Proto-Monic	dew, mist, fog	dew, mist, fog
N231.B	*-la̤aŋ	Proto-Nyah Kur	dew, mist, fog	
N231.A	*[pə]la̤i̯ɲ	Proto-Mon	dew, mist, fog	
N232	*s()maɲ	Proto-Monic		star
N232.B	*ɕhəmɛ̱ɲ	Proto-Nyah Kur	star	
N233	*[k/p]()mat	Proto-Monic	fire	fire
N233.B	*kəma̱t ~ khma̱t	Proto-Nyah Kur	fire	
N233.A	*kəmo̱t	Proto-Mon	fire	
N234	*prtam	Proto-Monic	night, night-time	night-time; classifier for counting nights
N234.B	*pəta̱m	Proto-Nyah Kur	night-time; classifier for counting nights	
N234.A	*hətɔ̱m	Proto-Mon	night, night-time	
N235	*cnaam	Proto-Monic	year	year
N235.B	*ɕhna̱am	Proto-Nyah Kur	year	
N235.A	*hna̱m	Proto-Mon	year	
N236	*bʔur	Proto-Monic	salt	salt
N236.B	*phəʔu̱r	Proto-Nyah Kur	salt	
N236.A	*ɓə̱	Proto-Mon	salt	
N237	*gər-gər	Proto-Monic	thunder, thunderbolt	rumble of thunder
N237.B	*khərkə̤r	Proto-Nyah Kur	rumble of thunder	
N237.A	*həkə̤	Proto-Mon	thunder, thunderbolt	
N238	*lŋuur	Proto-Monic		morning
N238.B	*ŋṳur	Proto-Nyah Kur	morning	
N239	*cɔɔr	Proto-Monic	small inlet from tidal creek	stream, creek
N239.B	*cu̱ar	Proto-Nyah Kur	stream, creek	
N239.A	*co̱	Proto-Mon	small inlet from tidal creek	
N240	*ɟ(ʌ)r	Proto-Monic		natural well or pond
N240.B	*cə̤r	Proto-Nyah Kur	natural well or pond	
N241	*pliir	Proto-Monic	hail-stones	hail
N241.B	*phli̱ir	Proto-Nyah Kur	hail	
N241.A	*pli̱	Proto-Mon	hail-stones	
N242	*thar	Proto-Monic	gold	gold
N242.B	*tha̱r	Proto-Nyah Kur	gold	
N242.A	*thɔ̱o̯	Proto-Mon	gold	
N243	*p-m-tɯl	Proto-Monic	sand	sand; usually in compound /ti̱iɁ ntɯ̱l/
N243.B	*[pm-/pn-]tɯ̱l	Proto-Nyah Kur	sand; usually in compound /ti̱iɁ ntɯ̱l/	
N243.A	*həti̱	Proto-Mon	sand	
N244	*kjaal	Proto-Monic	wind (n.)	wind (n.)
N244.B	*khja̱al	Proto-Nyah Kur	wind (n.)	
N244.A	*cja̱	Proto-Mon	wind (n.)	
N245	*[ʔ]ka̱aj̊ (Indic origin)	Proto-Monic	sky	sky
N245.B	*ŋka̱aj̊	Proto-Nyah Kur	sky	
N245.A	*[t/ʔ]əka̱h	Proto-Mon	sky	
N246	*tŋaj	Proto-Monic	sun; daytime, classifier for days	sun
N246.B	*thŋa̱j	Proto-Nyah Kur	sun	
N246.A	*hŋu̱ə̯	Proto-Mon	sun; daytime, classifier for days	
N247	*t-r-ŋaj	Proto-Monic	daily	daytime
N247.B	*təŋa̱j	Proto-Nyah Kur	daytime	
N247.A	*təŋu̱ə̯	Proto-Mon	daily	
N248	*brəj	Proto-Monic	rain	rain
N248.B	*phrə̤j	Proto-Nyah Kur	rain	
N248.A	*prɔ̤ə̯	Proto-Mon	rain	
N249	*prsəj	Proto-Monic	iron	iron
N249.B	*pəɕə̱j	Proto-Nyah Kur	iron	
N249.A	*pəsɒ̱ɛ̯	Proto-Mon	iron	
N250	*k-l-mɓuh	Proto-Monic	large bubbles, foam, froth	foam
N250.B	*kləmbu̱h	Proto-Nyah Kur	foam	
N250.A	*həɓɒ̱ɨ̯h	Proto-Mon	large bubbles, foam, froth	
N251	*trɛh	Proto-Monic	pebble, rock, gravel	pebble, rock, gravel
N251.B	*trɛ̱h	Proto-Nyah Kur	pebble, rock, gravel	
N251.A	*krɛ̱h	Proto-Mon	pebble, rock, gravel	
N252	*ɟrɔh	Proto-Monic	chasm, gully, deep ravine	cavity at the base of a cliff
N252.B	*chrɔ̤h	Proto-Nyah Kur	cavity at the base of a cliff	
N252.A	*sɔ̤h	Proto-Mon	chasm, gully, deep ravine	
N253	*mwaj	Proto-Monic	one	one
N253.B	*mṳaj	Proto-Nyah Kur	one	
N253.A	*mṳə̯	Proto-Mon	one	
N254	*ɓaar	Proto-Monic	two	two
N254.B	*ba̱ar	Proto-Nyah Kur	two	
N254.A	*ɓa̱	Proto-Mon	two	
N255	*piiʔ	Proto-Monic	three	three
N255.B	*pi̱iʔ	Proto-Nyah Kur	three	
N255.A	*pɒ̱i̯ʔ	Proto-Mon	three	
N256	*pan	Proto-Monic	four	four
N256.B	*pa̱n	Proto-Nyah Kur	four	
N256.A	*pɔ̱n	Proto-Mon	four	
N257	*(m-)suun	Proto-Monic	five	five
N257.B	*ɕu̱un	Proto-Nyah Kur	five	
N257.A	*pəsu̱n	Proto-Mon	five	
N258	*t(-w-)raw	Proto-Monic	six	six
N258.B	*təra̱w	Proto-Nyah Kur	six	
N258.A	*kəra̱o̯	Proto-Mon	six	
N259	*tmpɔh	Proto-Monic	seven	seven
N259.B	*təmpɔ̱h	Proto-Nyah Kur	seven	
N259.A	*həpɔ̱h	Proto-Mon	seven	
N260	*tɲcaam	Proto-Monic	eight	eight
N260.B	*[k]əɲca̱am	Proto-Nyah Kur	eight	
N260.A	*həca̱m	Proto-Mon	eight	
N261	*[k/t]ɲciit	Proto-Monic	nine	nine
N261.B	*kəɲci̱it	Proto-Nyah Kur	nine	
N261.A	*həci̱t	Proto-Mon	nine	
N262	*cas	Proto-Monic	ten	ten
N262.B	*ca̱j̊	Proto-Nyah Kur	ten	
N262.A	*cɔ̱h	Proto-Mon	ten	
N262a	*c-w-as	Proto-Monic	-ty, as in twenty	-ty, as in twenty
N262a.B	*chu̱aj̊	Proto-Nyah Kur	-ty, as in twenty	
N262a.A	*co̱h	Proto-Mon	-ty, as in twenty	
N263	*ʔəj/*ʔwəj	Proto-Monic	I	I
N263.B	*ʔə̱j/*wə̱j	Proto-Nyah Kur	I	
N263.A	*ʔu̱ə̯	Proto-Mon	I	
N264.B	*pe̤h	Proto-Nyah Kur	thou	
N264.A	*pe̤h	Proto-Mon	thou (to inferiors or familiars)	
N265	*ɗɛh	Proto-Monic	third person animate	third person, animate or inanimate
N265.B	*dɛ̱h	Proto-Nyah Kur	third person, animate or inanimate	
N265.A	*ɗɛ̱h	Proto-Mon	third person animate	
N266	*ɲin	Proto-Monic		third person remote, human; someone else
N266.B	*ɲi̤n	Proto-Nyah Kur	third person remote, human; someone else	
N267	*pəj/*pw[ə]j	Proto-Monic	exclusive first person plural	we
N267.B	*pə̱j	Proto-Nyah Kur	we	
N267.A	*po̱ɛ̯	Proto-Mon	exclusive first person plural	
N268	*[s/c]kɔɔʔ	Proto-Monic		each other
N268.B	*(cə-)kɔ̱ɔʔ	Proto-Nyah Kur	each other	
N269	*tɛɛʔ	Proto-Monic	there, then, that, those	that (not far, near addressee)
N269.B	*tɛ̱ɛʔ	Proto-Nyah Kur	that (not far, near addressee)	
N269.A	*te̱ʔ	Proto-Mon	there, then, that, those	
N270	*-nɔɔʔ	Proto-Monic	this, here	tonight
N270.B	*nɔ̱ɔʔ	Proto-Nyah Kur	tonight	
N270.A	*(ʔə-)nɔ̱ʔ	Proto-Mon	this, here	
N271	*(ɟ-)mooʔ	Proto-Monic	what?	what?
N271.B	*(chə-)mo̤oʔ	Proto-Nyah Kur	what?	
N271.A	*m[ṳ]ʔ	Proto-Mon	what?	
N272	*[b/p]-nəw	Proto-Monic	among	where?, where to?
N272.B	*(phə)nə̤w	Proto-Nyah Kur	where?, where to?	
N272.A	*pəno̱	Proto-Mon	among	
N273	*-gɔh	Proto-Monic	Noun Phrase particle	that (recently spoken of)
N273.B	*kɔ̤h	Proto-Nyah Kur	that (recently spoken of)	
N273.A	*-kɔ̤h	Proto-Mon	Noun Phrase particle	
N274	*ɟwiiʔ	Proto-Monic		left (side)
N274.B	*chəwi̤iʔ	Proto-Nyah Kur	left (side)	
N275	*[k/c/s]-toom	Proto-Monic		right (side)
N275.B	*cəto̱om	Proto-Nyah Kur	right (side)	
N276	*[k]ntuul	Proto-Monic	on top of	on top of
N276.B	*kəntu̱ul	Proto-Nyah Kur	on top of	
N276.A	*ʔətɒ̱u̯	Proto-Mon	on top of	
N277	*kntaaʔ	Proto-Monic	in front of	in front of
N277.B	*kənta̱aʔ	Proto-Nyah Kur	in front of	
N277.A	*həta̱ʔ	Proto-Mon	in front of	
N278	*(sŋ-)kraw	Proto-Monic	be subsequent	behind, at the back
N278.B	*sŋ-kra̱w	Proto-Nyah Kur	behind, at the back	
N278.A	*k(ə)ra̱o̯	Proto-Mon	be subsequent	
N279	*p()ɗəj	Proto-Monic	interior, private	penis
N279.B	*pədə̱j	Proto-Nyah Kur	penis	
N279.A	*[p/ʔ]-əɗɒ̱ɛ̯	Proto-Mon	interior, private	
N280	*ku-	Proto-Monic	to (Benefactive, Directional)	to (Benefactive, Directional)
N280.B	*ku-	Proto-Nyah Kur	to (Benefactive, Directional)	
N280.A	*kɒ-	Proto-Mon	to (Benefactive, Directional)	
V1	*tl-ʔɔɔʔ	Proto-Monic	to vomit, regurgitate	(baby) to regurgitate (rice, milk...) after over-eating
V1.B	*təlʔɔ̱ɔʔ	Proto-Nyah Kur	(baby) to regurgitate (rice, milk...) after over-eating	
V1.A	*həʔɔ̱ʔ	Proto-Mon	to vomit, regurgitate	
V1a	*[p-]ʔɔɔʔ	Proto-Monic	to feed (baby) with premasticated food	
V1a.A	*ʔɔ̱ʔ	Proto-Mon	to feed (baby) with premasticated food	
V2	*gooʔ	Proto-Monic	to get, obtain, procure, receive; to comprise	to get, possess (Transitive Verb); be allowed to, be incidentally - not inherently - able to (sentence final v.)
V2.B	*ko̤oʔ	Proto-Nyah Kur	to get, possess (Transitive Verb); be allowed to, be incidentally - not inherently - able to (sentence final v.)	
V2.A	*kə̤o̯ʔ	Proto-Mon	to get, obtain, procure, receive; to comprise	
V3	*tr-ŋɔɔʔ	Proto-Monic	to be assiduous, industrious	to be perseverent, diligent (in doing something); to be eager (to do something repeatedly) beyond one's needs (e.g. eating)
V3.B	*tə(r)ŋɔ̱ɔʔ	Proto-Nyah Kur	to be perseverent, diligent (in doing something); to be eager (to do something repeatedly) beyond one's needs (e.g. eating)	
V3.A	*təŋɔ̱ʔ	Proto-Mon	to be assiduous, industrious	
V3a	*p[]-ŋɔɔʔ	Proto-Monic	to make an effort, proceed directly, rapidly to	
V3a.A	*pəŋ[ɔ̱]ʔ	Proto-Mon	to make an effort, proceed directly, rapidly to	
V4	*caaʔ	Proto-Monic	to eat; to live on, by, by the revenues of; to govern; to divide arithmetically; to take (a piece) of chess or other game	(humans, animals, insects) eat; to spend (money) in gambling or for daily necessities; to win at card games (Transitive Verb)
V4.B	*ca̱aʔ	Proto-Nyah Kur	(humans, animals, insects) eat; to spend (money) in gambling or for daily necessities; to win at card games (Transitive Verb)	
V4.A	*ci̱ə̯ʔ	Proto-Mon	to eat; to live on, by, by the revenues of; to govern; to divide arithmetically; to take (a piece) of chess or other game	
V4a	*c-rn-aaʔ	Proto-Monic	food, solid food	(when felling a tree) to cut deeper into the core of the trunk; (when digging a hole) to enlarge and deepen it
V4a.B	*cərna̱aʔ	Proto-Nyah Kur	(when felling a tree) to cut deeper into the core of the trunk; (when digging a hole) to enlarge and deepen it	
V4a.A	*[k/h]əna̱ʔ	Proto-Mon	food, solid food	
V4b	*c-w-aaʔ	Proto-Monic	curry, soup	flesh (of fruits, of animals); the meat in curry; rice-accompaniment
V4b.B	*chwa̱aʔ	Proto-Nyah Kur	flesh (of fruits, of animals); the meat in curry; rice-accompaniment	
V4b.A	*khwa̱ʔ	Proto-Mon	curry, soup	
V5	*taaʔ	Proto-Monic	to vomit	(humans, not animals) to vomit
V5.B	*ta̱aʔ	Proto-Nyah Kur	(humans, not animals) to vomit	
V5.A	*ta̱ʔ	Proto-Mon	to vomit	
V6	*[d]ndooʔ	Proto-Monic	to teach, instruct	headman (usually in compound with /-do̱oŋ/)
V6.B	*[k]ənto̤oʔ	Proto-Nyah Kur	headman (usually in compound with /-do̱oŋ/)	
V6.A	*hələ̤o̯ʔ	Proto-Mon	to teach, instruct	
V7	*paaʔ	Proto-Monic	to do; to perform; to achieve the status of	to perform (an action); to fabricate (an object)
V7.B	*pa̱aʔ	Proto-Nyah Kur	to perform (an action); to fabricate (an object)	
V7.A	*pa̱ʔ	Proto-Mon	to do; to perform; to achieve the status of	
V8	*([k]m-)pɔɔʔ	Proto-Monic	to dream	to dream (of something; that something happened)
V8.B	*([]m-)pɔ̱ɔʔ	Proto-Nyah Kur	to dream (of something; that something happened)	
V8.A	*kəpɔ̱ʔ	Proto-Mon	to dream	
V9	*puuʔ	Proto-Monic	swell, be nearly ripe; to suffer diarrhoea	(dead body) to swell in decomposing (Intransitive Verb)
V9.B	*pu̱uʔ	Proto-Nyah Kur	(dead body) to swell in decomposing (Intransitive Verb)	
V9.A	*pɒ̱u̯ʔ	Proto-Mon	swell, be nearly ripe; to suffer diarrhoea	
V10	*t[]miiʔ	Proto-Monic	be new	(object, wife) to be newly acquired or made (Intransitive Verb); (have done something) recently (adv.)
V10.B	*təmi̱iʔ	Proto-Nyah Kur	(object, wife) to be newly acquired or made (Intransitive Verb); (have done something) recently (adv.)	
V10.A	*[k/ʔ]əmɒ̱i̯ʔ	Proto-Mon	be new	
V11	*gwaaʔ	Proto-Monic	to be bashful, shy, ashamed	to be ashamed (of something) (in front of somebody) (Intransitive Verb)
V11.B	*khwa̤aʔ	Proto-Nyah Kur	to be ashamed (of something) (in front of somebody) (Intransitive Verb)	
V11.A	*kwɛ̤ə̯ʔ	Proto-Mon	to be bashful, shy, ashamed	
V12	*ɟraa	Proto-Monic	to wither; be withered, wilted	
V12.A	*sɛ̤ə̯ʔ	Proto-Mon	to wither; be withered, wilted	
V12a	*ɟ[- -]raaʔ	Proto-Monic	dried residue, sediments in a jar, lees	alcohol (meaningless chime word in compound)
V12a.B	*chəra̤aʔ	Proto-Nyah Kur	alcohol (meaningless chime word in compound)	
V12a.A	*hərɛ̤ə̯ʔ	Proto-Mon	dried residue, sediments in a jar, lees	
V13	*sraaʔ	Proto-Monic	to have the skin broken, be injured, ulcerate, develop sores	(infection) to spread; (wound) to fester (Intransitive Verb); to separate, pull apart (logs or firewood, from the fire-place) (Transitive Verb)
V13.B	*ɕra̱aʔ	Proto-Nyah Kur	(infection) to spread; (wound) to fester (Intransitive Verb); to separate, pull apart (logs or firewood, from the fire-place) (Transitive Verb)	
V13.A	*sa̱ʔ	Proto-Mon	to have the skin broken, be injured, ulcerate, develop sores	
V13a	*s-m-raaʔ	Proto-Monic	discharging lesion, sore, ulcer, burn, scald	a wound, a cut
V13a.B	*ɕəmra̱aʔ	Proto-Nyah Kur	a wound, a cut	
V13a.A	*həra̱ʔ	Proto-Mon	discharging lesion, sore, ulcer, burn, scald	
V14	*trɔɔʔ	Proto-Monic	to be insane, mad	to be foolish, nonsensical, feeble-minded (Intransitive Verb)
V14.B	*trɔ̱ɔʔ	Proto-Nyah Kur	to be foolish, nonsensical, feeble-minded (Intransitive Verb)	
V14.A	*krɔ̱ʔ	Proto-Mon	to be insane, mad	
V14a	*t-m-rɔɔʔ	Proto-Monic	madman, crazy fellow	madman
V14a.B	*təmrɔ̱ɔʔ	Proto-Nyah Kur	madman	
V14a.A	*pərɔ̱ʔ	Proto-Mon	madman, crazy fellow	
V15	*bruʔ	Proto-Monic	to make a noise	to make a noise (Intransitive Verb); (sound) to be loud (stat.); loudly (adv.)
V15.B	*phrṳʔ	Proto-Nyah Kur	to make a noise (Intransitive Verb); (sound) to be loud (stat.); loudly (adv.)	
V15.A	*prṳʔ	Proto-Mon	to make a noise	
V16	*ɟlɛɛʔ	Proto-Monic	to be short	(objects, not persons or time) to be short
V16.B	*khlɛ̤ɛʔ	Proto-Nyah Kur	(objects, not persons or time) to be short	
V16.A	*kle̤ʔ	Proto-Mon	to be short	
V16a	*ɟ-m-lɛɛʔ	Proto-Monic	shortness (Noun); short (Attributive)	short (Attributive)
V16a.B	*chəmlɛ̤ɛʔ	Proto-Nyah Kur	short (Attributive)	
V16a.A	*həle̤ʔ	Proto-Mon	shortness (Noun); short (Attributive)	
V17	*lɔɔʔ	Proto-Monic	to be a long time	to be a long time
V17.B	*lɔ̤ɔʔ	Proto-Nyah Kur	to be a long time	
V17.A	*lɔ̤ʔ	Proto-Mon	to be a long time	
V18	*c()looʔ	Proto-Monic	to cross, penetrate thoroughly, go around	to cross (a shallow river, on foot) (Transitive Verb)
V18.B	*cəlo̱oʔ	Proto-Nyah Kur	to cross (a shallow river, on foot) (Transitive Verb)	
V18.A	*klɒ̱ɨ̯ʔ	Proto-Mon	to cross, penetrate thoroughly, go around	
V19	*ɟlu[u]ʔ	Proto-Monic	to be dark	(day) be getting dark (Intransitive Verb)
V19.B	*khlṳ(u)ʔ	Proto-Nyah Kur	(day) be getting dark (Intransitive Verb)	
V19.A	*klṳʔ	Proto-Mon	to be dark	
V19a	*ɟ-m-lu[u]ʔ	Proto-Monic	blind person	(day) be dark (Attributive)
V19a.B	*chəmlṳuʔ	Proto-Nyah Kur	(day) be dark (Attributive)	
V19a.A	*həlṳʔ	Proto-Mon	blind person	
V19b	*ɟ-m-lu[u]ʔ	Proto-Monic	darkness	classifier for evenings
V19b.B	*chəmlṳuʔ	Proto-Nyah Kur	classifier for evenings	
V19b.A	*həlṳʔ	Proto-Mon	darkness	
V20	*kjaaʔ	Proto-Monic	to be defeated, beaten (by), to lose (to)	to lose, be defeated (in fight, play, courtship ...) (Intransitive Verb)
V20.B	*khja̱aʔ	Proto-Nyah Kur	to lose, be defeated (in fight, play, courtship ...) (Intransitive Verb)	
V20.A	*cja̱ʔ	Proto-Mon	to be defeated, beaten (by), to lose (to)	
V21	*cjooʔ	Proto-Monic	to sell	to sell (something, to someone)
V21.B	*chəjo̱oʔ	Proto-Nyah Kur	to sell (something, to someone)	
V21.A	*sɒ̱ɨʔ	Proto-Mon	to sell	
V22	*(ŋ)haaʔ	Proto-Monic	to gape open, to open wide	to open one's mouth or beak (Transitive Verb)
V22.B	*(ŋ)ha̱aʔ	Proto-Nyah Kur	to open one's mouth or beak (Transitive Verb)	
V22.A	*ha̱ ~ *ha̱ʔ	Proto-Mon	to gape open, to open wide	
V23	*[c/s]ŋiək	Proto-Monic	be scorched, (food) burnt	(food, especially rice) to be burnt by overcooking (Intransitive Verb)
V23.B	*chŋi̱ak	Proto-Nyah Kur	(food, especially rice) to be burnt by overcooking (Intransitive Verb)	
V23.A	*hɲi̱ə̯k	Proto-Mon	be scorched, (food) burnt	
V24	*[]-ŋaak	Proto-Monic	to look upward	to look upward (at something) (Transitive Verb)
V24.B	*ŋa̤ak	Proto-Nyah Kur	to look upward (at something) (Transitive Verb)	
V24.A	*[ʔ]əŋa̤i̯c	Proto-Mon	to look upward	
V25	*lcɔk	Proto-Monic	to be black	dark green/blue (Stative)
V25.B	*ləcɔ̱k	Proto-Nyah Kur	dark green/blue (Stative)	
V25.A	*[ʔ/k]əcɔ̱k	Proto-Mon	to be black	
V25a	*l-m-cɔk	Proto-Monic	black (Attributive)	to be dark green/blue (Attributive)
V25a.B	*ləmcɔ̱k	Proto-Nyah Kur	to be dark green/blue (Attributive)	
V25a.A	*pəcɔ̱k	Proto-Mon	black (Attributive)	
V26	*(cɔk-)cɔɔk	Proto-Monic	scabies	(human) to scratch (self or other) in order to relieve itchiness; to scratch (something) off from one's body (Transitive Verb)
V26.B	*cək-cɔ̱ɔk	Proto-Nyah Kur	(human) to scratch (self or other) in order to relieve itchiness; to scratch (something) off from one's body (Transitive Verb)	
V26.A	*co̱k	Proto-Mon	scabies	
V26a	*c-n-ɔɔk	Proto-Monic	to itch	(body-part) to feel itchy (Stative)
V26a.B	*chnɔ̱ɔk	Proto-Nyah Kur	(body-part) to feel itchy (Stative)	
V26a.A	*hno̱k	Proto-Mon	to itch	
V27	*tak	Proto-Monic	to strike, hit, beat	
V27.A	*ta̱k	Proto-Mon	to strike, hit, beat	
V27a	*k[r]-tak	Proto-Monic		to slam (something) down forcefully (Transitive Verb)
V27a.B	*kəta̱k	Proto-Nyah Kur	to slam (something) down forcefully (Transitive Verb)	
V28	*p[r]tak	Proto-Monic	to tumble, turn a somersault; to lie face downward	(object) to be standing on its head; to stand (something) on its head (Intransitive/Transitive Verb)
V28.B	*pəta̱k	Proto-Nyah Kur	(object) to be standing on its head; to stand (something) on its head (Intransitive/Transitive Verb)	
V28.A	*həta̱k	Proto-Mon	to tumble, turn a somersault; to lie face downward	
V29	*took	Proto-Monic	to scoop up; (pig) to root up a tuber	to dip up (liquid, seeds, salt...) (with a ladle, cup...) (Transitive Verb)
V29.B	*to̱ok	Proto-Nyah Kur	to dip up (liquid, seeds, salt...) (with a ladle, cup...) (Transitive Verb)	
V29.A	*tʌ̱ɨ̯k	Proto-Mon	to scoop up; (pig) to root up a tuber	
V30	*dak	Proto-Monic	to tie, tether, link	to tie a bundle (of firewood, grass, hair) (with a piece of rattan, string...) (Transitive Verb)
V30.B	*ta̤k	Proto-Nyah Kur	to tie a bundle (of firewood, grass, hair) (with a piece of rattan, string...) (Transitive Verb)	
V30.A	*tɛ̤a̯k	Proto-Mon	to tie, tether, link	
V31	*knkɔk	Proto-Monic	(ground) to be sunken, low-lying; /həlɔ̱k hənɛ̤ak/ (ground) to be uneven, broken	to pound (e.g. earth, to make it flat), to stab (e.g. earth with a stick, thumb forward) (Transitive Verb)
V31.B	*kəntɔ̤k	Proto-Nyah Kur	to pound (e.g. earth, to make it flat), to stab (e.g. earth with a stick, thumb forward) (Transitive Verb)	
V31.A	*həlɔ̱k	Proto-Mon	(ground) to be sunken, low-lying; /həlɔ̱k hənɛ̤ak/ (ground) to be uneven, broken	
V32	*kɗak	Proto-Monic	to snap; to make a snapping sound	to make a loud palatal click (e.g. to make an infant or pet aware of a command)
V32.B	*khəda̱k	Proto-Nyah Kur	to make a loud palatal click (e.g. to make an infant or pet aware of a command)	
V32.A	*ɗa̱k	Proto-Mon	to snap; to make a snapping sound	
V33	*k[r]nɗak	Proto-Monic	to pound vertically in a mortar; to elbow; to strike with the elbow	to pound (e.g. chili, areca, salad..., but not rice) (in a mortar) (Transitive Verb)
V33.B	*kərnɗa̱k	Proto-Nyah Kur	to pound (e.g. chili, areca, salad..., but not rice) (in a mortar) (Transitive Verb)	
